"logFC.trtDF" "logFC.trtDL" "logFC.trtDS" "logCPM" "LR" "PValue" "FDR"
"oases3_k25_Locus_52353_Transcript_5_1" 4.97204786296383 -0.486290241491373 -4.37668283077241 6.04692701718459 129.735365158544 6.16740292869164e-28 2.26177167603908e-23
"oases2_k43_Locus_20622_Transcript_5_1" 6.20873707602291 0.0768885181039203 -1.20806130957786 6.97796833237877 119.954186574008 7.89411396203234e-26 1.44750420664806e-21
"oases3_k49_Locus_48413_Transcript_4_1" 5.57253344847922 0.68119768382541 -1.47814317687725 7.92234572160259 107.374861693123 4.02926674433876e-23 4.92550997717117e-19
"oases6_k49_Locus_2739_Transcript_5_1" 6.28687270501396 0.397897409728211 0.398634227449535 5.6757049800411 104.021075445448 2.12191341170254e-22 1.94542326368419e-18
"oases6_k25_Locus_6897_Transcript_5_2" 5.86971255626598 1.32652457098669 -1.08315305834941 8.21448846522352 102.666767087213 4.14972955359506e-22 3.04366063837983e-18
"oases6_k49_Locus_58445_Transcript_2_1" 5.67152525772028 0.268729435296292 -0.663097224248275 6.25065534292029 97.7825823145672 4.65830663046655e-21 2.847234650985e-17
"oases6_k25_Locus_27954_Transcript_3_1" 5.13275170409676 0.244372714475321 -0.858065719702292 6.16814032487504 89.5340506590581 2.75825202904543e-19 1.4450482380169e-15
"oases2_k25_Locus_49164_Transcript_1_1" 6.47122695347097 0.922664087640654 0.0114165597032263 5.89181974705907 85.0710905334575 2.50551169744008e-18 1.14855788100275e-14
"oases2_k25_Locus_50568_Transcript_1_1" 6.26707284299111 1.73190249835065 -0.679194929257396 6.82738890067032 81.9531716597376 1.16956235342307e-17 4.7657066874538e-14
"oases6_k31_Locus_3792_Transcript_10_2" 5.53203977740473 0.995454534653499 -0.632527042180567 8.39041486030635 81.6727855193898 1.34332722570575e-17 4.92638393483071e-14
"oases3_CL21094Contig1_1" 6.83785021515957 -1.41410526593535 -4.05729656029354 4.54407644901757 79.7837087413605 3.41530514890452e-17 1.13863168841614e-13
"oases3_CL19994Contig1_1" 5.11459824781626 0.213126432569692 -0.507667805080203 7.07097978495167 79.3246141208423 4.28447776080014e-17 1.30937210768186e-13
"oases3_k25_Locus_54713_Transcript_9_1" 5.63795090365976 1.50533981692877 -0.464578974371585 5.13508861086489 79.126926990388 4.72385393276229e-17 1.33259919443224e-13
"oases6_k49_Locus_57889_Transcript_1_1" 6.56662547492587 -0.0778107619665715 -0.630074036009352 4.87682016240576 78.8554253603145 5.40162145939748e-17 1.34962888519009e-13
"oases2_k49_Locus_33714_Transcript_2_1" 4.63725377617708 -1.21554827413036 -2.51875645803911 5.22229175812723 78.8114309782877 5.52025557708706e-17 1.34962888519009e-13
"oases6_k37_Locus_5849_Transcript_9_1" 5.4667327152599 -1.54724935548302 -3.37303431854977 4.36541125024897 76.9900643835928 1.35678881082866e-16 3.10984475371997e-13
"oases3_k49_Locus_49692_Transcript_1_1" 5.25719956875771 -2.35883492002162 -1.34009847144059 4.66599519343306 76.8210942580958 1.47481824537035e-16 3.18152997132159e-13
"oases6_k49_Locus_12143_Transcript_7_2" 5.69174007416264 0.698541299127715 -0.256935615508609 6.49195808560323 76.4203111329956 1.79746381576964e-16 3.66213280642889e-13
"oases6_k37_Locus_60082_Transcript_1_1" 10.957271156665 4.18178044859556 2.3144428303574 4.3414154604997 75.5138274479239 2.81173959381133e-16 5.4271013749391e-13
"oases6_k31_Locus_25424_Transcript_1_1" 5.07147925846518 -1.01468056967227 -2.59287863186353 4.59042769669211 75.3042933336833 3.11807730577427e-16 5.48538221270499e-13
"oases3_k43_Locus_3424_Transcript_84_3" 5.60311733140654 -1.31662263326961 -1.40980307167458 5.65672176203888 75.2893968352007 3.14108544342717e-16 5.48538221270499e-13
"oases2_k31_Locus_32375_Transcript_2_1" 5.42476157687909 -1.14165034910767 -0.315236141109153 4.58644326038861 75.1346814726254 3.39031857965288e-16 5.65150696689137e-13
"oases6_k25_Locus_16650_Transcript_1_1" 5.13106344187053 -0.994454672989751 0.624207439148729 4.40756550448425 74.5768164816412 4.46480655464208e-16 7.11903699036474e-13
"oases3_k25_Locus_53953_Transcript_1_1" 7.19645105138958 -2.71742502489204 0.785049569842464 3.58246374881227 74.3093248388466 5.09480563272491e-16 7.78507529037169e-13
"oases3_k43_Locus_24204_Transcript_8_1" 5.07777939382031 -0.65240660501182 -1.36921403055579 3.913675627961 73.7459132905028 6.7276152189419e-16 9.86887331697025e-13
"oases3_k37_Locus_11505_Transcript_13_1" 5.59337202240255 -0.0741501386121342 -1.07971061586152 5.34079906074497 68.8504549543079 7.52285903098911e-15 1.06109926632101e-11
"oases2_k31_Locus_38544_Transcript_1_1" 4.86244263799988 -1.08781358453721 -0.622090384792001 4.04064683807624 66.0854019661825 2.93872391446551e-14 3.9915489672294e-11
"oases3_CL20544Contig1_1" 5.3555605014898 -0.54225594455601 -1.14625738932523 4.91658739555538 65.9291585940272 3.1738581428851e-14 4.15696070264375e-11
"oases3_k37_Locus_50451_Transcript_6_1" 6.24240001948451 -0.559293708253906 -1.35192546008236 6.58411447943395 65.3151611180443 4.29479925310417e-14 5.43114389686514e-11
"oases3_CL22688Contig1_1" 5.93924088594009 1.10430371877194 -1.14003551274556 5.69288379831421 64.286538956893 7.12787576912014e-14 8.71335293603143e-11
"oases6_k31_Locus_53645_Transcript_3_1" 6.16095913890845 -0.836042859582609 0.168316653412279 3.45432464623918 64.0982650516834 7.8203352049444e-14 9.25145654744923e-11
"oases2_CL3315Contig1_1" 6.10276426261028 -1.66963616274691 -2.8873637453108 6.86735589100753 63.4871006422357 1.05662283337727e-13 1.21092278651389e-10
"oases3_k31_Locus_39189_Transcript_1_1" 4.1405943312487 -4.16730953455637 -1.39154565085728 4.3997918686653 62.7877074664189 1.4909348314791e-13 1.65688039620706e-10
"oases3_k31_Locus_2387_Transcript_6_1" 4.74487817708507 -0.474334321915199 -1.885535350937 5.42431031288305 62.693658445018 1.56158472260885e-13 1.68435283918336e-10
"oases6_k25_Locus_54138_Transcript_1_1" 7.01827987201162 2.7665167165939 0.501775835796363 4.16970442565525 62.1282889550238 2.06265724396498e-13 2.12520936101634e-10
"oases3_k25_Locus_52753_Transcript_1_1" 4.41529226362985 -1.48511227107257 -4.89524357284295 3.6763611293641 62.0640918330617 2.12887275328357e-13 2.12520936101634e-10
"oases6_k37_Locus_56172_Transcript_1_1" 6.35627705904287 1.6024501309551 -2.81249449362565 3.79896942994628 62.0495551373067 2.14415909136434e-13 2.12520936101634e-10
"oases3_k31_Locus_50978_Transcript_1_1" 9.82125435310286 4.4245665540325 2.5968959645821 3.23754374312684 61.6433036735577 2.61873190688312e-13 2.52728303213486e-10
"oases2_CL1131Contig1_1" 4.70582293650535 1.72310033919714 -1.87232319293826 5.90364297052133 60.6510263637064 4.26724342701737e-13 3.91753864632891e-10
"oases2_k31_Locus_41487_Transcript_2_1" 6.65453033361573 0.776412312346021 -0.479416168373894 3.11293721547014 60.6027514937521 4.36981153716142e-13 3.91753864632891e-10
"oases3_k37_Locus_49374_Transcript_9_1" 4.70505327983783 -1.12009318613066 -1.88450117196371 4.63681016348569 60.5981276838041 4.37976398166185e-13 3.91753864632891e-10
"oases3_CL39Contig2_1" -4.58273779052854 -5.65897724411155 -3.36690206215791 7.54297108538007 58.9883508956638 9.66828031110933e-13 8.4420200916503e-10
"oases3_k31_Locus_50788_Transcript_1_1" 5.76220483465238 0.326661636638331 -0.710010128622417 4.77859442393473 58.3688491419113 1.31115544152608e-12 1.11823263969968e-09
"oases6_k43_Locus_18369_Transcript_1_1" 3.14941460153019 -2.11100871606281 -1.06363505966863 5.54780454615352 57.6780953657002 1.84140433555375e-12 1.53476866358552e-09
"oases6_k49_Locus_58223_Transcript_3_1" 5.59247049695976 0.193255959085734 -2.36504881162104 3.81299297264187 57.5289519954428 1.98148861725542e-12 1.6148251569024e-09
"oases6_k43_Locus_47940_Transcript_1_1" 4.87995736171696 -0.0484310062273399 -1.76815514996585 5.12380928367184 56.7982506513508 2.83777516262356e-12 2.26238540301943e-09
"oases6_k49_Locus_34415_Transcript_1_1" 11.9635516516686 6.66076204358111 7.60213530559362 5.60418049461245 56.3978402725751 3.45494674489321e-12 2.69581408458444e-09
"oases3_k31_Locus_50510_Transcript_4_1" 6.27864198713687 -2.88482782139206 -0.195829800975742 2.65029310518988 55.5048387764272 5.35804144914411e-12 4.09365529300963e-09
