"","logFC.genotypeD2","logFC.genotypeD6","logCPM","LR","PValue","FDR"
"oases2_k43_Locus_2139_Transcript_11_1",5.86918627553084,-1.18055454936859,7.49339963864353,124.622719780678,8.68001028426155e-28,3.18322017154724e-23
"oases6_k49_Locus_9085_Transcript_1_1",-0.00398925198124937,5.87227128721974,6.18698877656821,114.53068819866,1.34889160990563e-25,2.47339510050346e-21
"oases2_k25_Locus_1413_Transcript_10_1",6.3942588053135,0.094389709873349,5.12991999580479,101.177637649991,1.07042227577121e-22,1.30851987064525e-18
"oases3_k49_Locus_20720_Transcript_3_1",-6.87950645003996,-5.94300775000413,5.22318768929942,97.3722397687668,7.17607202392937e-22,6.57920223333904e-18
"oases6_k43_Locus_4607_Transcript_5_1",-0.411236316760556,6.05374909006166,5.51261316257558,95.6687755309419,1.68185808867206e-21,1.23357563371741e-17
"oases2_k43_Locus_251_Transcript_3_1",6.24152889818053,-0.413144252711772,5.91768383313513,91.5026605885453,1.3503604618779e-20,8.25362820307472e-17
"oases2_k25_Locus_555_Transcript_20_2",6.11185099021047,-0.0735308549252453,6.53909635481391,89.6582048123095,3.39600402520328e-20,1.50104912142031e-16
"oases6_CL12441Contig1_1",-0.543846006598365,5.92222524857096,5.08557745180081,89.6029924926937,3.49106069299803e-20,1.50104912142031e-16
"oases2_k49_Locus_21670_Transcript_2_1",7.76436706556471,-0.385873262633817,4.34148472491727,89.4955374022397,3.68375701272948e-20,1.50104912142031e-16
"oases2_CL10361Contig1_1",6.94664066481805,-1.0088875996235,4.42828548198233,87.6135444969735,9.43975108215679e-20,3.46183991435936e-16
"oases2_k49_Locus_7811_Transcript_9_1",5.91912172701491,0.179915173069594,5.14700208511972,86.4796437987367,1.66411735793714e-19,5.54801598796625e-16
"oases6_k31_Locus_8148_Transcript_1_1",-0.81968433396645,6.65931048319135,6.41553727754886,86.1801107940405,1.93297713205017e-19,5.90733919697298e-16
"oases6_k37_Locus_8630_Transcript_5_1",0.513000841305236,5.8721366086999,6.52578008176999,84.8559723881695,3.74765598096974e-19,1.05721375223156e-15
"oases3_CL13095Contig1_1",4.88706865350703,-1.76423651215713,5.35832302146932,81.79729235228,1.72959192252745e-18,4.53066604106066e-15
"oases3_k43_Locus_25864_Transcript_6_1",-7.20961465581509,-10.087142465067,3.97603225074173,80.0948334643116,4.05161246641356e-18,9.90565226538562e-15
"oases6_k25_Locus_855_Transcript_5_1",-0.932859060910092,4.71797330466236,5.13339801987688,79.9071273793273,4.45028431090891e-18,1.02003297833727e-14
"oases2_k37_Locus_9093_Transcript_1_1",-5.65965185066411,-5.48791575242841,6.97418770132313,79.2453229325439,6.19579110579193e-18,1.33657792483946e-14
"oases6_k25_Locus_18070_Transcript_5_1",-0.056197466894883,5.46255184132064,5.84470809672667,79.0549834813846,6.81441303605316e-18,1.38836094039543e-14
"oases2_CL946Contig1_1",6.2962094569569,-0.799356682847451,4.26219197119331,78.5729979554769,8.67142117595395e-18,1.67372120413557e-14
"oases6_k49_Locus_2038_Transcript_1_1",1.12466131755132,7.31989211237995,4.67713728083481,77.6245261634115,1.39331179441188e-17,2.55484617182334e-14
"oases2_CL6746Contig1_1",5.59232057372011,-0.57551799832317,4.40478266549046,77.1336325225759,1.78092041833328e-17,3.11008069054935e-14
"oases2_k25_Locus_16410_Transcript_1_1",4.94962645116395,0.323300367196208,7.21170803696494,76.7395896706401,2.16875169350314e-17,3.61521049344729e-14
"oases3_k25_Locus_22522_Transcript_4_1",-6.13984339461058,-6.36215231245848,4.27732663832539,76.0580647280496,3.04930658891143e-17,4.8620530667456e-14
"oases6_k37_Locus_2004_Transcript_10_1",0.0871322849280571,7.53444771079382,4.90261902543733,75.917820847276,3.27080508268018e-17,4.96503113627342e-14
"oases2_k25_Locus_16584_Transcript_1_1",6.32868286183537,0.0987213554594923,6.38793007961191,75.8493839537635,3.38466387824382e-17,4.96503113627342e-14
"oases3_k49_Locus_2068_Transcript_7_2",-5.1205587172655,-5.05023125491886,6.71848214199822,75.760408571533,3.53863937222368e-17,4.99125083452149e-14
"oases2_k31_Locus_49570_Transcript_1_1",-6.91334255025129,-6.78729886103212,4.49634000729301,75.0105469765686,5.14833361603871e-17,6.99277180374028e-14
"oases6_k31_Locus_5052_Transcript_8_1",0.707169719028535,6.23357559065563,4.50909816800898,74.9264468646737,5.36943746848695e-17,7.03262072435079e-14
"oases2_k31_Locus_6172_Transcript_1_1",6.56031671039277,0.521192036939962,4.91518160393499,74.054118989953,8.30524369600302e-17,1.050269662288e-13
"oases6_k49_Locus_7254_Transcript_3_1",-0.111263172347787,5.62495336328225,5.06440051429346,73.847702379144,9.20820920728205e-17,1.12564218752885e-13
"oases6_k49_Locus_8264_Transcript_2_1",-1.13243611058062,4.53095448976989,5.37633233395117,72.8743145090395,1.49810987976807e-16,1.77226398776563e-13
"oases2_k49_Locus_6417_Transcript_3_1",6.32110704504411,0.247256890100484,4.24813866216879,72.2979273245565,1.99850185152561e-16,2.29034557503121e-13
"oases2_k37_Locus_22780_Transcript_3_1",4.76101272102647,-1.88922083084426,5.67337272178877,71.6064905297,2.82389241731791e-16,3.13820020061514e-13
"oases3_CL22659Contig1_1",-5.48836939256477,-5.63636630940092,5.79978124956627,71.0535692835475,3.72317517588902e-16,4.01588244780523e-13
"oases3_k49_Locus_55706_Transcript_1_1",-8.11650246233828,-6.29675944747192,4.53876435348794,70.8363618315582,4.15029979804285e-16,4.3486841283893e-13
"oases6_CL16248Contig1_1",-1.47355928805474,5.13353585811756,4.82227157439713,70.7155725808109,4.40867943821732e-16,4.49109725104843e-13
"oases6_k25_Locus_1295_Transcript_6_1",0.0687069214458352,8.00661071733992,3.78880036828708,70.3222075942826,5.36693880350039e-16,5.16110588455012e-13
"oases3_k49_Locus_40765_Transcript_1_1",-6.89686643046002,-6.72641834102808,4.45242272350389,70.2777647616269,5.48753472879623e-16,5.16110588455012e-13
"oases6_k37_Locus_821_Transcript_8_1",-0.382697345115236,6.11402592498321,4.71529340615856,70.2773795120294,5.48859186588102e-16,5.16110588455012e-13
"oases2_k25_Locus_1018_Transcript_6_1",10.0491566149153,1.70106597265608,3.43413196824286,69.9748814342605,6.38480386404893e-16,5.85374780265666e-13
"oases6_k31_Locus_1503_Transcript_6_1",1.87322072324029,6.88046297705846,4.0354844447799,69.8988852859753,6.63208241693373e-16,5.93215508478563e-13
"oases2_k25_Locus_27733_Transcript_1_1",7.89489449010125,1.90618416147654,4.3339251967771,69.1028120303478,9.87449798695419e-16,8.6220824922755e-13
"oases3_k43_Locus_5850_Transcript_1_1",-5.78074091102411,-5.13931690665103,4.71598966271639,68.9919120741905,1.04375037641024e-15,8.71723527748407e-13
"oases6_k25_Locus_16086_Transcript_2_1",-1.03997258619151,4.60675881601001,4.63232486427479,68.9630843797593,1.05890378194938e-15,8.71723527748407e-13
"oases3_k43_Locus_751_Transcript_7_3",1.06539432542582,-6.87495100916813,6.31459320460348,68.942875310604,1.06965775226129e-15,8.71723527748407e-13
"oases3_k49_Locus_4801_Transcript_1_1",-6.37183872488578,-4.94094613793692,4.58462283774929,68.125491739756,1.60967215050355e-15,1.28329362555253e-12
"oases2_k37_Locus_11146_Transcript_3_1",5.90228626822532,-0.990375323592969,4.85262709579249,67.7276377252973,1.96394956970309e-15,1.50737590370882e-12
"oases3_k25_Locus_15898_Transcript_10_1",-6.90189981839376,-5.66333709286478,5.43350040650448,67.7184916930357,1.97295130962898e-15,1.50737590370882e-12
"oases2_k37_Locus_7867_Transcript_9_1",3.04952811671772,-2.87635876157112,5.65189076161818,67.1950826721035,2.56314509932266e-15,1.91833102505021e-12
"oases2_k49_Locus_3659_Transcript_10_1",5.56140440136409,0.32982949781812,6.33776795682559,66.5854977570068,3.47650513079757e-15,2.54987745323478e-12
"oases2_k37_Locus_11402_Transcript_6_1",3.91954146936402,-2.92652796627508,4.7211598654316,66.3085811667793,3.99277233936599e-15,2.871116470619e-12
"oases2_k37_Locus_6007_Transcript_5_1",4.8039651866021,-0.011446853615644,6.06994059349393,65.954080651378,4.76709006377692e-15,3.36199026747867e-12
"oases2_k25_Locus_6870_Transcript_5_1",8.41667376552004,2.21708499914872,4.10765081707777,65.516039636532,5.93434450704124e-15,4.10623049257969e-12
"oases6_k43_Locus_1390_Transcript_3_1",-1.09705329076024,4.09607957394984,5.3445759487962,64.8364537516497,8.33571686485606e-15,5.66103230712715e-12
"oases6_k43_Locus_2809_Transcript_6_1",-0.610795773098984,6.35720387780053,4.36856232490379,64.0130461149713,1.25818253162121e-14,8.38933236038996e-12
"oases3_k43_Locus_42045_Transcript_1_1",-6.47578562855181,-4.70718125672824,4.52296709262612,63.4445932752335,1.67178959143394e-14,1.0948132086903e-11
"oases3_k49_Locus_565_Transcript_4_1",-3.76762255321017,-4.68261967112102,6.92090362856134,63.205120265269,1.8844408946342e-14,1.21242282331438e-11
"oases6_k43_Locus_3700_Transcript_4_1",-1.93174588736815,3.82735834187676,8.84926902979672,62.329564802781,2.91948987456302e-14,1.84597331327327e-11
"oases2_k43_Locus_18236_Transcript_1_1",5.71741729491223,-0.345466920772762,5.41867530374784,61.9310829547005,3.56316724381478e-14,2.21478020902406e-11
"oases2_k25_Locus_33092_Transcript_1_1",6.97013391151392,1.32044690934792,4.56052997323361,61.7939853492921,3.81598425401269e-14,2.33239317579012e-11
"oases2_k43_Locus_23093_Transcript_1_1",6.44577987871338,-0.816419366766236,4.21843576792377,61.6552015552418,4.09018632108966e-14,2.45900660579215e-11
"oases3_CL13827Contig1_1",-6.64553693739003,-6.29100052214747,5.13529890346872,61.6207655206705,4.16122100315564e-14,2.46136222336656e-11
