TRINITY_DN12650_c0_g1	integral component of membrane / ATP binding / hydrogen-exporting ATPase activity, phosphorylative mechanism / metal ion binding / ATP biosynthetic process
TRINITY_DN32646_c0_g9	chloroplast thylakoid membrane / integral component of membrane / photosystem I / photosystem II / chlorophyll binding / photosynthesis, light harvesting / protein-chromophore linkage
TRINITY_DN32328_c1_g9	O-methyltransferase activity / protein dimerization activity
TRINITY_DN32328_c1_g9	O-methyltransferase activity / protein dimerization activity
TRINITY_DN24885_c0_g1	carbonate dehydratase activity / zinc ion binding / carbon utilization
TRINITY_DN21136_c0_g1	cellulase activity / cellulose catabolic process
TRINITY_DN32829_c2_g1	integral component of membrane / ATP binding / hydrogen-exporting ATPase activity, phosphorylative mechanism / metal ion binding / ATP biosynthetic process
TRINITY_DN26575_c0_g1	chalcone isomerase activity / flavonoid biosynthetic process
TRINITY_DN26575_c0_g1	chalcone isomerase activity / flavonoid biosynthetic process
TRINITY_DN30139_c3_g3	nucleosome / nucleus / DNA binding / protein heterodimerization activity
TRINITY_DN31191_c0_g5	FMN binding / long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity / medium-chain-(S)-2-hydroxy-acid oxidase activity / very-long-chain-(S)-2-hydroxy-acid oxidase activity
TRINITY_DN31191_c0_g5	FMN binding / long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity / medium-chain-(S)-2-hydroxy-acid oxidase activity / very-long-chain-(S)-2-hydroxy-acid oxidase activity
TRINITY_DN32857_c3_g1	integral component of membrane
TRINITY_DN30470_c0_g1	integral component of membrane
TRINITY_DN30470_c0_g1	integral component of membrane
TRINITY_DN22920_c0_g1	nucleus / protein dimerization activity / RNA polymerase II regulatory region sequence-specific DNA binding / transcription factor activity, sequence-specific DNA binding / MAPK cascade / positive regulation of transcription from RNA polymerase II promoter / transcription, DNA-templated
TRINITY_DN31191_c0_g9	chloroplast / ribosome / rRNA binding / structural constituent of ribosome / translation
TRINITY_DN30011_c0_g1	fructose-bisphosphate aldolase activity / glycolytic process
TRINITY_DN30470_c0_g1	integral component of membrane
TRINITY_DN12330_c0_g3	chloroplast thylakoid membrane / integral component of membrane / photosystem I / photosystem II / chlorophyll binding / photosynthesis, light harvesting / protein-chromophore linkage
TRINITY_DN32646_c0_g9	chloroplast thylakoid membrane / integral component of membrane / photosystem I / photosystem II / chlorophyll binding / photosynthesis, light harvesting / protein-chromophore linkage
TRINITY_DN22770_c0_g1	integral component of membrane / transferase activity, transferring acyl groups other than amino-acyl groups / fatty acid biosynthetic process
TRINITY_DN25788_c0_g1	cell wall / aspartyl esterase activity / pectinesterase activity / cell wall modification / pectin catabolic process
TRINITY_DN30865_c1_g4	nucleus / zinc ion binding
TRINITY_DN22834_c0_g1	extracellular region / polygalacturonase activity / carbohydrate metabolic process / cell wall organization
