"","logFC.genotype2","logFC.genotype6","logCPM","LR","PValue","FDR"
"TRINITY_DN73583_c0_g1_i7",4.87255163693193,12.4718294406145,6.51421550873671,136.554827026393,2.22585091590786e-30,1.70007257858107e-25
"TRINITY_DN68326_c0_g1_i10",-1.5461258914772,11.3583708252633,5.1605355424121,135.502695006298,3.7667226006582e-30,1.70007257858107e-25
"TRINITY_DN70695_c2_g1_i2",-3.19357182407292,-13.4136475446923,8.69277264578874,133.530767666288,1.00962993597051e-29,3.03790916867288e-25
"TRINITY_DN74422_c0_g1_i8",-1.48548582249579,11.259504697055,5.10561125662506,131.297102470613,3.08458294903739e-29,6.96097834109268e-25
"TRINITY_DN71601_c0_g1_i2",-1.95136595335451,10.6064039776403,4.80806979267019,122.631746163762,2.3488466699922e-27,4.24051382413712e-23
"TRINITY_DN64740_c2_g1_i1",-3.02778597504946,8.94409895126217,4.09573279799776,116.54520561911,4.92640546880963e-26,7.41161281430847e-22
"TRINITY_DN68326_c0_g1_i4",-0.184271260257089,-12.0863786473621,6.504191999595,111.98923448392,4.80669665893062e-25,6.19844134297642e-21
"TRINITY_DN72700_c0_g1_i1",11.6108302168885,10.5443936057795,6.99810062492934,108.666140975203,2.53190439341878e-24,2.85687432231408e-20
"TRINITY_DN74810_c1_g5_i3",-0.385377602509226,6.99716436603293,5.54067968098708,107.537686201926,4.45131309818174e-24,4.46456811940743e-20
"TRINITY_DN73948_c3_g1_i8",-10.7267189013341,-12.5030701388803,4.9363556003113,103.959575404775,2.66357561544328e-23,2.32504834509552e-19
"TRINITY_DN73877_c4_g1_i7",-3.1376817294191,9.27935760236109,4.64874580765884,103.729293835549,2.98861545338346e-23,2.32504834509552e-19
"TRINITY_DN71601_c0_g1_i6",-1.23248537867061,-11.7389846040169,6.78803545379296,103.662015173956,3.090860564225e-23,2.32504834509552e-19
"TRINITY_DN69483_c0_g2_i5",0.992242494529147,-11.5049879695999,6.08313499154676,102.198731295097,6.42432451443854e-23,4.4608532713026e-19
"TRINITY_DN62784_c0_g1_i3",1.04351088341366,-11.0910846019895,5.90658722967749,101.735747736984,8.09772590969886e-23,5.2211823029764e-19
"TRINITY_DN65523_c3_g7_i2",-1.53856344509385,6.58511149876724,4.82947489459879,100.495014010423,1.50586132077298e-22,9.06207264690236e-19
"TRINITY_DN69592_c0_g1_i4",-0.455718976639502,11.4606880665743,4.49159646554314,99.9864019186302,1.94190817797263e-22,1.09557604630771e-18
"TRINITY_DN62564_c0_g1_i1",-1.37524895741006,10.3119879164182,4.44720171865035,98.3167278845881,4.47500783952733e-22,2.37617651563796e-18
"TRINITY_DN61833_c1_g2_i4",-6.21743379328317,-7.28755884318275,5.61984560891561,96.6172452968601,1.0467229717229e-21,5.24919940063793e-18
"TRINITY_DN72596_c2_g1_i4",4.12180128832931,11.7205528282041,6.07412783733456,96.2891548040341,1.23331979125453e-21,5.85943741668229e-18
"TRINITY_DN61236_c1_g1_i1",-1.09072062199994,6.328094688544,5.38952145477101,94.598691901763,2.8718057180906e-21,1.29616079280301e-17
"TRINITY_DN77530_c5_g1_i11",1.74404734626533,10.0741024712094,4.38025543390252,93.6969979645499,4.50770416960368e-21,1.93762590467517e-17
"TRINITY_DN74573_c1_g1_i1",8.17804649205813,8.4285468507851,6.26334186706376,93.5349852818499,4.88805420861506e-21,2.0056130786512e-17
"TRINITY_DN75153_c0_g2_i19",4.09120528575918,10.8705853857241,4.4415421723955,93.2760009028319,5.56382878387584e-21,2.18363346375176e-17
