"","DS6","DF6","DL6","DR3","DS3","DF3","DL3","DR2","DS2","DF2","DL2","DR6","NF3","NF6","NR3","NR6","BR3","BF3"
"oases2_CL10000Contig1_1",15,4.59606,3,3,20.9549,0,1,3,3,27.7982,22,1,29.7578,8.72591,13.7127,8.55384,21.0887,24.20789
"oases2_CL10001Contig1_1",5,12,1,26,32,0,2,25,0,46.9724,1,3,0,0,0,0,1,0
"oases2_CL10005Contig1_1",81.2495,31.0425,2,131.258,147.061,15.7109,19,55.9987,3,74.0393,5,51.4577,20,4,5,1,28.6272,5
"oases2_CL10009Contig1_1",5,45.7153,0,5.72259,15.1061,10.7437,6,3,0,152.414,0,1,394.257,62.3988,124.429,9.639,31.3432,408.462
"oases2_CL10011Contig1_1",12.6235,18.1822,1.6518,5.33567,1.28541,0.0795711,0,12.6427,8.61167,11.2904,29,4.775,5.83154,63.8672,0,61.1494,4.71652,15.6455
"oases2_CL10019Contig1_1",56.4402,28.861,16.2551,11.5501,52.638,18.6827,2.40846,4.71514,7.72168,18.9723,63.7184,7.2763,55.6317,112.535,33.2134,43.633,17.51806,18.16966
"oases2_CL10026Contig1_1",34,15.0332,5.46512,5.39389,26.5308,1.45644,2.38075,34,6.2004,161.515,0,18.7592,37.0708,22.1553,46.5748,44.2559,6.55769,6
"oases2_CL1002Contig1_1",93.2767,54.3325,30.7295,112.197,157.685,3.54593,8.63421,44.2641,5.70195,51.7181,16,16.4559,117.532,128.534,13.5081,30.2403,85.2471,78.154
"oases2_CL10039Contig1_1",256.09,62.4229,29.0524,13.6058,201.101,7,10,16,15,98.448,64,5,1317.56,1118.21,1584.15,1380.68,613.956,1066.12
"oases2_CL10052Contig1_1",67.5134,46,1,101.201,125.814,5,4,50.9236,0,48.1687,2,31.3546,2,2,4,3,25.5807,3
"oases2_CL1005Contig1_1",143.506,139.021,57.3092,22,31.9649,46,46.7796,107.407,162.338,406.095,149,83.3608,13,1.00731,7.12935,20.464,2,2
"oases2_CL10068Contig1_1",145.711,159.739,126.615,22.47,245.749,33.0796,106.392,57.9255,206.707,373.096,61.982,11,222.726,284.499,114.792,131.257,43.8513,117.6596
"oases2_CL10085Contig1_1",12,26,0,5,30,3,0,0,0,50,0,0,58,85,34,17,13,86
"oases2_CL1008Contig1_2",190.788,122.753,19.8344,48.3429,162.027,24.5912,49.1291,25.1378,74.8811,93.3468,103,21.0723,358.327,396.512,350.976,355.73,190.3813,348.855
"oases2_CL10095Contig1_1",125.881,77,15,14,151.181,1,8,69.8005,4,88.0681,23,20.4885,148.234,363.894,125.579,256.906,44.7953,111.6544
"oases2_CL100Contig1_1",255.84,82.0174,11,347.294,558.907,7.91095,14,204.018,8,150.714,40,82.0205,2.60306,0,3,2.31594,73.0321,15.91295
"oases2_CL10114Contig1_1",482,169,37,27,662,25,43,50,30,369,104,35,835,672,915,795,191,375
"oases2_CL10115Contig1_1",15.1842,13.2316,0,0,0,0,0,4.75187,3,11.2987,0,3.67475,15.4551,69.5822,8.53522,93.3809,6.74389,33.5808
"oases2_CL10115Contig1_2",26.9827,12.8869,0,0,0,0,0,11.6765,14.107,13,40.3409,4.04336,0,206.87,0,154.501,0,0
"oases2_CL10121Contig1_1",5.85579,18.0512,0,8.31701,108.729,4,0,2.60484,6,70.2998,0,5,6.7707,38.2235,13.321,3.71159,6.58519,33.3029
"oases2_CL10124Contig1_1",156.533,112,3,92,750,41,9,806,3,1031,99,74,236.428,134,428.452,273,264.504,247.555
"oases2_CL10128Contig1_1",823,133,10,171,3495,20,8,167,6,824,11,202,581,1651,2605,2525,818,727
"oases2_CL10131Contig1_1",6,1,2,24,11,0,7,30,9,28,49,4.09733,4,0,5.06392,0,6.27015,3
"oases2_CL10135Contig1_1",240,88,13,44,395,38,15,20,40,225,172,27,1814.92,1040,1244.91,1174.92,329.874,1260.912
"oases2_CL1013Contig1_1",26,8,0,12.4085,43.6443,0,0,9,4,24.6963,0,2,0,1,1,0,23,5
"oases2_CL10149Contig1_1",0,2.43e-07,0,0.356345,8.09257,0,0,5.54287,4.83718,23.4651,0,0,0,61.2068,0,3.04329,13.8598,78.5272
"oases2_CL10154Contig1_1",189.736,94.6603,36.4798,2.73292,21.8528,1.3907,1.37316,89.1387,50.4709,96.9164,36.5292,21.5722,13.5732,464.358,38.7953,675.698,14.0484,13.48568
"oases2_CL10154Contig1_2",23.9284,30.4622,5.7737,0,0,0,1,7.05092,24.0807,34.1131,114.82,1.23426,8.58153,247.046,0,160.941,0,6.45329
"oases2_CL1015Contig1_1",0,0,0,0,7.28394,0,1,4.13618,3,16.6893,0,0,47.0078,1.071,41.6988,0,13.40711,23.42823
"oases2_CL10170Contig1_1",49.0763,15.68,0,115.201,543.178,16.1011,4.01136,95.3764,6.59295,149.2,6.48458,24.2346,25.8329,46.3698,231.815,240.435,102.8544,21.41081
"oases2_CL10173Contig1_1",278,126,69,30,285,22,17,59,20,39,0,15,3882.97,5670.98,5661.93,4217,2385,4099
"oases2_CL10175Contig1_1",968.213,356.695,80.0317,220.762,5150.17,73.0042,169.175,79.6082,154.272,1113.7,555.815,73.9643,9429.72,4983.69,11497.6,3987.41,3106.67,7507.21
"oases2_CL10176Contig1_1",71.4874,82.3275,12.6329,8.63336,149.527,15.5193,19.2674,43.825,53.649,117.987,27.9863,13.691,727.76,55.0286,353.383,27.1693,186.4352,627.362
"oases2_CL10178Contig1_1",20.8062,18.2008,3.3642,3.00389,102.583,1.28756,4.33931,11.3479,13.6298,29.7282,33,0,44.0786,47.895,105.435,60.9393,34.5679,54.2684
"oases2_CL10180Contig1_1",770,116,24,47,345.969,15,20,35,24,155,133,48,1546.93,1180,2089,2032,696,924
"oases2_CL1018Contig1_1",3582.84,1102.81,277.95,266.442,3071.71,136.981,114.789,271.893,211.393,2961.72,920,143.986,14183.2,12572.5,16701.2,13709.6,6335.44,12181.7
"oases2_CL10190Contig1_1",197.796,96.3355,29.6211,32.3359,102.024,11.5841,22.0481,2419.2,42.7293,19299.4,251.203,136.614,87.8727,385.237,54.5468,121.27,24.33547,97.8341
"oases2_CL10202Contig1_1",106.764,54.8167,11,19.209,120.641,8,8.84196,32.9332,32,83.6528,52,10,321.496,162.344,189.688,154.299,62.0691,123.0206
"oases2_CL10209Contig1_1",248.415,46,14,29.8734,254.76,5,11,27,32,45.679,46,22.6993,1777.56,1356.7,2045.82,2329.83,827.579,1017.562
"oases2_CL10211Contig1_1",340,129,39,21,373,21,32,28,54,158,31,36,1761,2224,1680,1655,548,1072
"oases2_CL10216Contig1_1",12.9883,6.48418,1,0,5.28858,0,0,28.0024,49.4358,208.489,64,0,23.6749,22.8257,39.1227,21.3038,14.02747,24.759
"oases2_CL10223Contig1_1",1378,228.739,84,64,946,33,36,86,50.3209,413,228,58.8045,3917.32,2470.45,3999.01,3179.07,1182.279,2611.04
"oases2_CL10224Contig1_1",1543,230,82,61,768,33,98,30,62,261,219,207,1037,495,933,1509,273,466
"oases2_CL10262Contig1_1",815.322,129.924,54.4806,41,1090.91,54,23,149.911,35,226,5,44,1844.06,1311.72,2617.71,1488.07,990.604,1430.977
"oases2_CL10275Contig1_1",2234.32,932.662,523.622,206.905,1840.09,28.3023,277.153,1007.55,476.523,2431.78,268,349.398,7494.92,7507.67,6985.24,4918.99,2427.51,4385.26
"oases2_CL1029Contig1_1",1,6,1,8,7,0,0,31,26,413,78,2,0,0,0,0,0,0
"oases2_CL102Contig2_1",89.1381,18,1,154.471,122.968,2,7,66.296,3,37.4692,45,25,0,1,3,3,34,0
