"","logFC.genotype2","logFC.genotype6","logCPM","LR","PValue","FDR"
"oases6_k49_Locus_9085_Transcript_1_1",0.153808160558442,6.20143567171675,5.65234533466869,203.506030013378,6.44506149623966e-45,2.36359740251597e-40
"oases3_k49_Locus_20720_Transcript_3_1",-6.89539373844213,-5.77064181813656,4.66268368549112,157.13648033649,7.55521525122706e-35,1.38536204454125e-30
"oases2_k43_Locus_2139_Transcript_11_1",5.37101424569383,-2.0666286924856,6.95061739708333,149.164964389081,4.06667565885742e-33,4.9712398812426e-29
"oases6_k25_Locus_189_Transcript_5_2",-1.4790730365485,7.6058887290183,1.00817302769625,145.667564989998,2.33716926394715e-32,2.14277521041834e-28
"oases6_k31_Locus_8148_Transcript_1_1",-0.648924198906464,7.03200503236645,5.89641668076995,145.050877189291,3.18128238480339e-32,2.33334337795789e-28
"oases3_k25_Locus_22522_Transcript_4_1",-6.21658935690351,-6.54322606827205,3.67331622212332,144.273107601492,4.69345589195577e-32,2.86871846542824e-28
"oases2_k37_Locus_9093_Transcript_1_1",-5.69909395061011,-5.57932900466488,6.40586990103321,141.263444287798,2.113648791181e-31,1.10734060169973e-27
"oases6_CL12441Contig1_1",-0.386099687966596,6.2073869655323,4.52467473041743,140.504672435123,3.0888586855525e-31,1.41597143219084e-27
"oases6_k31_Locus_5052_Transcript_8_1",0.888574073565454,6.56438399677521,3.97060493756504,139.647362864989,4.74198796803248e-31,1.93225471946283e-27
"oases6_k49_Locus_3011_Transcript_1_2",-1.97004193668381,7.15855576840557,0.987067481167881,138.888768468185,6.92926431921287e-31,2.54116910378493e-27
"oases6_k25_Locus_18070_Transcript_5_1",-0.157342861811559,5.51076817964852,5.6144230064219,134.841167119425,5.24339521398209e-30,1.74810029711241e-26
"oases6_k31_Locus_1503_Transcript_6_1",1.88128290265544,6.94170841665823,3.45803584072707,133.006677443937,1.31210008886769e-29,3.98652108891148e-26
"oases3_k43_Locus_751_Transcript_7_3",1.11600124877215,-6.85706911969083,5.76204637351403,132.858280371638,1.41315884045072e-29,3.98652108891148e-26
"oases6_k49_Locus_3931_Transcript_1_1",2.19949961041235,7.82812037988065,1.01214267315006,132.167648290691,1.99599675369289e-29,5.22851349629852e-26
"oases6_k25_Locus_1295_Transcript_6_1",-0.348311530504976,7.96664708782839,3.23508135051918,131.643971637056,2.59343143781778e-29,6.34059407460609e-26
"oases3_k49_Locus_2068_Transcript_7_2",-5.20890900460008,-5.24182241509864,6.30544054508432,129.617967856324,7.14193514731379e-29,1.63697617285899e-25
"oases3_k43_Locus_5850_Transcript_1_1",-5.95113959868922,-5.45530672548022,4.23293091166161,128.410912974237,1.30594395533645e-28,2.78588128153767e-25
"oases6_k43_Locus_1136_Transcript_1_1",2.41167979206549,8.0868916647224,2.76167247828932,128.318974746964,1.36737826378202e-28,2.78588128153767e-25
"oases2_k25_Locus_555_Transcript_20_2",6.42621224670077,0.512896993636732,5.98933907268896,127.399325499952,2.16564849815725e-28,4.18004354594321e-25
"oases6_k37_Locus_821_Transcript_8_1",0.0026417078399829,6.66792652379746,4.19811203958189,126.546455105021,3.31731277917964e-28,6.08279057754275e-25
"oases6_k25_Locus_855_Transcript_5_1",-0.63027710209149,5.26344771048963,4.56934888344038,125.736691662525,4.97306710033711e-28,8.68463284622204e-25
"oases6_k49_Locus_8264_Transcript_2_1",-0.967932245239636,4.87726005805682,4.83603525373047,123.225603925803,1.74542058221076e-27,2.90953677324614e-24
"oases3_CL22659Contig1_1",-5.46859924261606,-5.62714796738623,5.21478202901254,121.860573085991,3.4539239718008e-27,5.50720668773265e-24
"oases6_CL16248Contig1_1",-1.26737577664017,5.49475840007024,5.10495272668437,120.879444341621,5.64107889146346e-27,8.61980359110998e-24
"oases3_k25_Locus_8887_Transcript_2_1",-4.99043194500285,-4.16409626559466,5.00677121975157,120.120058731366,8.2463291116137e-27,1.20967051004084e-23
"oases2_k49_Locus_21670_Transcript_2_1",8.17495904891755,0.189613187956009,3.74437847439684,118.788129247461,1.6050385807039e-26,2.26390691808286e-23
"oases6_k25_Locus_16368_Transcript_3_1",0.705386457710785,6.7554760304134,2.33709669556751,117.521672127507,3.02338285180581e-26,4.1065377527509e-23
"oases3_k49_Locus_11468_Transcript_2_1",-5.75314392616178,-5.32998639225121,3.30256813709707,116.228166035131,5.77263933847937e-26,7.42343491076899e-23
"oases3_k31_Locus_2243_Transcript_9_1",-6.31436270704589,-4.45034087578335,4.71077476635916,116.194631002597,5.87024820473647e-26,7.42343491076899e-23
"oases6_k49_Locus_19048_Transcript_3_1",4.60984682002497,10.2937557773335,2.51936760346626,116.097941841331,6.16101475652085e-26,7.53142980552963e-23
"oases2_k49_Locus_7811_Transcript_9_1",5.90747670876548,0.159322606395942,4.57932881644846,115.263254267845,9.35195379892144e-26,1.10633613441241e-22
"oases2_k31_Locus_49570_Transcript_1_1",-6.75734464267091,-6.10906731182878,3.90149801307724,114.519640198291,1.35636350578407e-25,1.5544349639881e-22
"oases6_k37_Locus_8116_Transcript_9_1",-0.815791555914457,5.42749517591639,5.17415278515717,114.20495548691,1.58748274335173e-25,1.76417438324055e-22
"oases3_CL25507Contig1_1",-5.09982824630372,-5.09409887876514,4.55597786332171,113.778368067741,1.96490380707525e-25,2.11937992108443e-22
"oases2_k25_Locus_16410_Transcript_1_1",4.7164627470479,-0.0795600236354343,6.70490863078442,112.899669228,3.04893610230357e-25,3.19467524799368e-22
"oases6_k43_Locus_2809_Transcript_6_1",-0.221368225870738,6.77116819022161,3.8090496476516,112.727471712861,3.32307802179246e-25,3.38520111925541e-22
"oases3_k25_Locus_15898_Transcript_10_1",-7.09770322654168,-6.19490769155024,4.84272652379659,110.000458018177,1.29928384312547e-24,1.2878009832146e-21
"oases6_k25_Locus_6713_Transcript_6_1",0.657414461598999,6.01637708232059,4.81092771562312,109.643377037615,1.55325652845973e-24,1.49901517547904e-21
"oases2_CL10361Contig1_1",7.30800747110105,-0.374074057794443,3.84243064728855,108.88087262553,2.2741490059208e-24,2.13845811523419e-21
"oases2_k43_Locus_251_Transcript_3_1",6.176648157289,-0.505406181654229,5.36759819522279,108.514096126889,2.73189134151624e-24,2.50466627918563e-21
"oases6_k25_Locus_189_Transcript_5_5",5.60788927418078,8.86873413618406,1.98761339309681,108.450484563715,2.82017784904754e-24,2.52254590873464e-21
"oases3_CL1588Contig1_1",-6.37426086760236,-5.89349037675942,4.22298520332887,107.961152432105,3.6019163230939e-24,3.14507326944816e-21
"oases3_k25_Locus_32452_Transcript_2_1",-5.78868234738324,-5.14948999585531,3.25124279297019,107.23891116569,5.16852138722306e-24,4.40802755427049e-21
"oases3_k43_Locus_4151_Transcript_9_2",-5.87061038340067,-5.54217033513168,4.66972471241333,106.581725318071,7.1791398140177e-24,5.98364987271525e-21
"oases6_k37_Locus_8137_Transcript_1_1",0.402526394168693,6.05321350865603,2.86001228343065,105.57794363524,1.18588024455845e-23,9.66439693526488e-21
"oases3_k43_Locus_12447_Transcript_1_1",-5.21522006834474,-3.11663688063798,8.16829727706382,105.434305290862,1.27418211383867e-23,1.01582784045229e-20
"oases3_CL1536Contig1_1",-6.52305086137267,-5.69471648134279,3.51401074979626,105.1832475788,1.44460127533441e-23,1.12718856532636e-20
"oases6_k25_Locus_22260_Transcript_4_1",3.18175458810689,7.88864880144488,2.25146978477806,104.995705835122,1.58661722964348e-23,1.21220861797324e-20
"oases3_k31_Locus_8593_Transcript_1_1",-5.02310433335508,-5.11121149702062,4.33020230229931,104.723023325428,1.81837905686748e-23,1.36092683984696e-20
"oases3_k25_Locus_21019_Transcript_1_1",-5.25161823065297,-4.87549329738679,4.11133532934001,103.957894700379,2.66581489782741e-23,1.95526859496049e-20
"oases6_k37_Locus_2004_Transcript_10_1",-0.176636447898533,7.21294912285912,4.32860250242211,103.811943616121,2.86762835441218e-23,2.06204969885015e-20
"oases3_k49_Locus_4801_Transcript_1_1",-6.16367140530422,-4.35891286858938,4.08415606567642,103.373270465221,3.57091514562122e-23,2.51838790644936e-20
"oases6_k43_Locus_2318_Transcript_1_1",1.3343179850164,7.57884232625839,2.62125246901387,103.172724262057,3.94754950467236e-23,2.73148081103489e-20
"oases3_CL22384Contig1_2",-6.47836275734301,-3.78331370456421,5.81188694905607,102.815881026824,4.7186211394733e-23,3.20455542681305e-20
"oases6_k49_Locus_4925_Transcript_2_1",0.707398452871452,7.39163181617694,4.08822939274067,102.293047310099,6.12839864779306e-23,4.08630479291845e-20
"oases6_k31_Locus_2900_Transcript_4_1",6.36990180927078,4.20164344030713,4.64232786292328,100.893068997824,1.23409455452122e-22,8.0801723049496e-20
"oases3_CL13095Contig1_1",4.88889936467214,-1.88418477446228,4.83293649307426,100.858066926669,1.25588258768611e-22,8.0801723049496e-20
"oases2_k25_Locus_6870_Transcript_5_1",10.0528393411773,4.24164290244474,3.49009846651245,100.140848065222,1.7975920391107e-22,1.13660504914322e-19
"oases3_k49_Locus_55706_Transcript_1_1",-8.3113329459247,-6.22562328873121,3.93220963853443,99.6070803406586,2.34745526515025e-22,1.45912249048907e-19
"oases6_CL8Contig4_1",-1.16769439373241,5.71970526521489,0.428347503932853,99.4067809945452,2.59472762228003e-22,1.58594076819793e-19
"oases6_k43_Locus_5806_Transcript_22_1",-5.12918724804281,-4.59308610763188,4.95070582908065,99.3612548600207,2.65446895000955e-22,1.59585802956885e-19
"oases2_k25_Locus_1413_Transcript_10_1",7.40144447514458,1.81541901914892,4.56990554339511,99.3115467639754,2.72126994769195e-22,1.60963117405979e-19
"oases2_CL946Contig1_1",6.34590807059434,-0.74865207559489,3.66092228714533,99.1142607417225,3.00339007300971e-22,1.74830673249976e-19
"oases2_CL194Contig1_1",5.6209812667727,-0.459774414964527,3.35125132667568,98.4288810618404,4.23097098902476e-22,2.42441248563289e-19
"oases3_CL21241Contig1_1",1.42048815629102,-6.1455724328067,4.62128536954376,98.3546780323433,4.39089478463576e-22,2.4773428374915e-19
"oases3_k49_Locus_11553_Transcript_6_1",-4.70299471611024,-6.59038772880527,2.85639693485684,98.3100214597336,4.49003867814026e-22,2.49489679459754e-19
"oases6_k31_Locus_9265_Transcript_11_1",6.65966233506807,8.34423952461052,4.32740210565368,97.9983645365505,5.24717469069761e-22,2.87208414077543e-19
"oases6_k31_Locus_17991_Transcript_1_1",-3.2425482264569,3.36316951381537,3.90032305508421,97.9381929291369,5.407438908873e-22,2.91627951625147e-19
"oases6_k37_Locus_27021_Transcript_2_1",5.32516496845526,6.29374586701193,5.03268637545617,97.8211003846607,5.73347528317796e-22,3.04730056608674e-19
"oases6_CL13872Contig1_1",-2.26628075207549,6.71278035120691,1.42660461648734,97.7886056718782,5.82738996619632e-22,3.05296960329025e-19
"oases6_CL13997Contig1_1",-0.82735566022769,4.44107599073157,2.91933114052624,97.1840459159654,7.88410800046915e-22,4.0723083479043e-19
"oases6_k43_Locus_1241_Transcript_6_1",-1.35183688572742,4.04541857919815,4.93140675831863,96.9289652088619,8.95658881098974e-22,4.56201363146426e-19
"oases2_k43_Locus_883_Transcript_1_1",0.175018025028811,-5.83577805634851,4.1395206766402,96.8705189411432,9.2221903579963e-22,4.63295050683286e-19
"oases3_k49_Locus_12248_Transcript_3_1",-5.60671315838678,-5.50306401263111,5.25957464956193,96.8080663098293,9.51470875226986e-22,4.71530964962152e-19
"oases2_k31_Locus_6172_Transcript_1_1",6.52906178504238,0.282609106612348,4.34395100650929,96.6891322854482,1.0097682106919e-21,4.93749727876056e-19
"oases6_k49_Locus_1654_Transcript_1_1",-0.439895988638593,8.91096311222601,1.75952535212461,96.637303969325,1.03627750321207e-21,5.00044800990739e-19
"oases2_k37_Locus_11402_Transcript_6_1",3.83613049686423,-3.39433399020198,4.17495738850416,96.3784618485166,1.17945920032753e-21,5.61744250046903e-19
"oases6_k25_Locus_6302_Transcript_8_1",6.18256376807259,9.60057894383154,2.87470440396103,96.131421824545,1.33452582381239e-21,6.27153649052664e-19
"oases3_k31_Locus_1039_Transcript_31_1",-4.4434187889394,-5.24577758265386,4.4147876470778,96.106887207898,1.35099768972161e-21,6.27153649052664e-19
"oases6_CL13872Contig1_3",0.76749623428594,9.46748930376086,1.5611269755328,96.0375116765399,1.39868304898029e-21,6.41173793190678e-19
"oases3_k49_Locus_40765_Transcript_1_1",-6.70924238255979,-5.95543615762088,3.8030764772349,95.9732647509211,1.44434304408801e-21,6.53930771059747e-19
"oases2_k43_Locus_40887_Transcript_1_1",0.908973631311632,-5.4627354013616,-0.0469572357534947,95.6826916378618,1.67019624908083e-21,7.46964720030989e-19
"oases2_k37_Locus_14701_Transcript_4_1",8.63760452424796,1.37510615200287,2.07445860849229,95.4288636750858,1.89620612820655e-21,8.37826112526735e-19
"oases6_k31_Locus_10057_Transcript_1_1",3.44755327347996,9.23297848758927,2.04736275584521,95.2052155238667,2.12055785016892e-21,9.25800214752913e-19
