"Gene" "Flower" "Leaf" "Stem"
"TRINITY_DN113716_c0_g1_i1" 0 0 0
"TRINITY_DN134440_c0_g1_i1" 0 0 0
"TRINITY_DN139246_c0_g1_i1" 1 0 0
"TRINITY_DN112407_c0_g1_i1" 0 0 0
"TRINITY_DN102327_c0_g1_i1" 0 0 0
"TRINITY_DN178965_c0_g1_i1" 0 0 0
"TRINITY_DN136529_c0_g1_i1" 1 0 0
"TRINITY_DN129878_c0_g1_i1" 1 0 0
"TRINITY_DN129218_c0_g1_i1" 0 0 0
"TRINITY_DN110280_c0_g1_i1" 1 0 0
"TRINITY_DN109629_c0_g1_i1" 1 0 0
"TRINITY_DN144878_c0_g1_i1" 0 0 0
"TRINITY_DN185954_c0_g1_i1" 0 0 0
"TRINITY_DN103357_c0_g1_i1" 0 0 0
"TRINITY_DN129623_c0_g1_i1" 0 0 0
"TRINITY_DN148947_c0_g1_i1" 1 0 0
"TRINITY_DN111578_c0_g1_i1" 1 0 0
"TRINITY_DN176386_c0_g1_i1" 0 0 0
"TRINITY_DN110119_c0_g1_i1" 1 0 0
"TRINITY_DN110120_c0_g1_i1" 1 0 0
"TRINITY_DN100679_c0_g1_i1" 0 0 0
"TRINITY_DN173562_c0_g1_i1" 0 0 0
"TRINITY_DN130764_c0_g1_i1" 0 0 0
"TRINITY_DN130793_c0_g1_i1" 1 0 0
"TRINITY_DN137010_c0_g1_i1" 0 0 0
"TRINITY_DN131466_c0_g1_i1" 0 0 0
"TRINITY_DN180036_c0_g1_i1" 0 0 0
"TRINITY_DN115830_c0_g1_i1" 0 0 0
"TRINITY_DN168593_c0_g1_i1" 1 0 0
"TRINITY_DN111760_c0_g1_i1" 0 0 0
"TRINITY_DN152779_c0_g1_i1" 0 0 0
"TRINITY_DN114111_c0_g1_i1" 0 0 0
"TRINITY_DN169631_c0_g1_i1" 0 0 0
"TRINITY_DN110439_c0_g1_i1" 0 0 0
"TRINITY_DN174795_c0_g1_i1" 0 0 0
"TRINITY_DN133693_c0_g1_i2" 0 0 0
"TRINITY_DN170683_c0_g1_i1" 0 0 0
"TRINITY_DN131797_c0_g1_i1" 0 0 0
"TRINITY_DN125240_c0_g1_i1" 0 0 0
"TRINITY_DN130904_c0_g1_i1" 0 0 0
"TRINITY_DN37588_c0_g1_i1" 0 0 0
