target_id,Flower_Filtered,Leaf_Filtered,Root_Filtered,Stem_Filtered
trinity2_CL1001Contig1_1,2355.24,571.535,225.835,301.457
trinity2_CL1005Contig1_1,47.8275,2.34201,54.5846,63.3019
trinity2_CL1008Contig1_1,50,27,7,15
trinity2_CL100Contig1_1,555.505,205,828.685,661.167
trinity2_CL1013Contig1_1,112.793,17,195.26,128.799
trinity2_CL1015Contig1_1,24.2907,0,77.0201,74.471
trinity2_CL1016Contig1_1,192.458,70,51,46
trinity2_CL1019Contig1_1,26625.8,112.297,97.745,131.189
trinity2_CL1026Contig1_1,1238.16,194.047,85.7966,168.902
trinity2_CL102Contig1_1,337.655,31,197.639,196.447
trinity2_CL1030Contig1_1,1399.34,149.923,922.8,450.283
trinity2_CL1034Contig1_1,1256.37,36,1089.86,238
trinity2_CL1036Contig2_1,605.183,139.19,389.284,304.22
trinity2_CL1037Contig1_4,1455.44,205.03,2991.62,709.581
trinity2_CL1037Contig1_6,765,294,2054,1155
trinity2_CL1038Contig1_1,51.5662,13.725,70.5047,8.35081
trinity2_CL1039Contig1_1,143.306,7.99096,45.6334,24.4902
trinity2_CL103Contig2_1,203.43,78.8354,394.363,223.095
trinity2_CL1043Contig1_1,79.8372,42,105.26,64.9381
trinity2_CL1048Contig1_1,290.205,13,373.199,314.026
trinity2_CL1049Contig2_1,1537.36,117.487,1187.1,416.412
trinity2_CL104Contig2_1,125.486,28,166.971,121.821
trinity2_CL1051Contig1_1,79.0176,2.87847,91.7116,91.1259
trinity2_CL1053Contig1_1,43,13,76,76
trinity2_CL105Contig4_1,278.735,18.9158,405.858,361.662
trinity2_CL1064Contig1_1,1283.14,5.37169,782.542,83.6333
trinity2_CL1065Contig1_2,10.6521,1,2.62383,2.78935
trinity2_CL1069Contig1_1,1539.98,25,701.114,168.898
trinity2_CL106Contig4_1,144.65,5,199.797,110.216
trinity2_CL1077Contig1_1,2907.06,166.354,2555.99,655.253
trinity2_CL1078Contig1_1,168.614,9.38813,100.66,7.98948
trinity2_CL107Contig1_1,29,3,59,46
trinity2_CL107Contig4_1,125.068,5.26577,135.885,101.171
trinity2_CL1081Contig1_1,142.579,4,214.049,89.1214
trinity2_CL108Contig3_1,47.9646,4.07624,81.115,56.555
trinity2_CL1092Contig1_1,80.8598,5.32141,181.669,117.045
trinity2_CL1093Contig1_1,2649.43,396.572,6252.3,3122.08
trinity2_CL1094Contig1_1,26,12,27,22
trinity2_CL1099Contig1_1,4,0,7,5
trinity2_CL109Contig3_1,348,55,827,585
trinity2_CL10Contig10_1,15.3742,1,12.0404,12.2185
trinity2_CL10Contig12_1,201.766,18.7498,194.733,136.512
trinity2_CL10Contig19_1,115.156,5.29316,153.637,113.83
trinity2_CL10Contig1_1,24.2223,0,23.9282,36.1681
trinity2_CL10Contig21_1,272.819,134,428.973,422.743
trinity2_CL10Contig22_1,102.41,17.3716,83.961,117.255
trinity2_CL10Contig33_1,217.602,14,193.825,181.758
trinity2_CL10Contig36_1,168.451,7.44927,429.983,333.468
trinity2_CL10Contig6_1,121.654,8.86499,78.2488,96.3487
trinity2_CL1101Contig1_1,45.6808,0,14.3108,26.6099
trinity2_CL1102Contig1_1,55,0,118,144
trinity2_CL1105Contig1_1,137,127,102.787,60
trinity2_CL1106Contig1_1,201.899,131,24.4036,25.1478
trinity2_CL110Contig1_1,280.897,90.2557,313.561,159.296
trinity2_CL110Contig1_2,684.735,98.618,663.443,172.826
trinity2_CL1110Contig1_1,47.1229,1.49898,120.421,118.55
trinity2_CL1116Contig1_1,77.084,2,171.692,174.521
trinity2_CL1118Contig1_1,31.4998,1,60.3135,55.427
trinity2_CL1120Contig1_1,144,25,428,566
trinity2_CL1123Contig1_1,25437.7,29.5959,7786,3059.96
trinity2_CL112Contig2_1,54.3731,2.25605,80.258,67.2055
trinity2_CL1130Contig1_1,33.5571,4,123.653,120.829
trinity2_CL1132Contig1_1,61.0645,29.5493,191.279,149.551
trinity2_CL1133Contig1_1,1628.85,272.586,1112.79,2026.59
trinity2_CL1135Contig1_1,327.765,11.4763,36.6112,74.5407
trinity2_CL1139Contig1_1,50.5997,20,55.5855,19.2733
trinity2_CL113Contig1_1,89.382,0,87.2667,18.527
trinity2_CL113Contig2_1,1413.59,316,683.236,493.783
trinity2_CL1145Contig1_1,31.8414,4.33292,162.182,145.931
trinity2_CL1154Contig1_1,57.0174,5,72.8486,50.4334
trinity2_CL1155Contig1_1,32.3255,1,83.4871,96.0734
trinity2_CL1157Contig1_1,5.28718,0,4.21133,8.18725
trinity2_CL1159Contig1_1,45.8442,0,52.8419,35.198
trinity2_CL1166Contig1_1,706.942,133,445.737,690
trinity2_CL1168Contig1_1,15.3435,0,9.51053,0
trinity2_CL1170Contig1_1,8.98895,0,14.521,6.96284
trinity2_CL1174Contig1_1,36.7143,2,68.3574,25.5361
trinity2_CL1176Contig1_1,40.121,0,60.4334,23.7622
trinity2_CL1177Contig1_1,47,1,45,36
trinity2_CL117Contig3_1,8.92592,3,14.6487,16.4411
trinity2_CL117Contig4_1,50.5853,2,46.3093,36
trinity2_CL1181Contig1_1,598.093,29.4828,505.639,247.518
trinity2_CL1191Contig1_1,751.916,0,118.473,12
trinity2_CL1192Contig1_1,17,1,35,22
trinity2_CL1194Contig1_1,1433.8,850.508,3865.87,1585.51
trinity2_CL1197Contig1_1,27.8524,1,92.8153,78.149
trinity2_CL119Contig3_1,155.522,13.7244,306.753,280.835
trinity2_CL11Contig15_1,63.1765,6.36308,179.638,195.021
trinity2_CL11Contig18_1,291.126,54.7996,630.36,571.583
trinity2_CL11Contig20_1,170.181,15.2815,280.847,313.412
trinity2_CL11Contig23_1,10.5418,0,4.48873,16.6512
trinity2_CL11Contig28_1,56.0992,6.43707,92.265,136.301
trinity2_CL11Contig2_1,15.5793,2.16528,31.8002,16.3408
trinity2_CL11Contig3_1,4,0,23.316,41
trinity2_CL11Contig4_1,6,0,28.4213,16.6047
trinity2_CL11Contig9_1,46.2345,1.33218,105.953,127.387
trinity2_CL1202Contig1_1,1131.42,31,198,330
trinity2_CL1216Contig1_1,6041.14,258.494,10704.2,1625.09
trinity2_CL121Contig1_1,56,7,124,183
trinity2_CL1220Contig1_1,70,59,29,44
