Gene Flower Leaf Stem
TRINITY_DN67662_c0_g1_i1 1 0 0
TRINITY_DN67616_c0_g1_i1 0 0 0
TRINITY_DN67687_c0_g1_i1 0 0 0
TRINITY_DN67606_c0_g1_i1 0 0 0
TRINITY_DN67688_c0_g1_i1 0 0 0
TRINITY_DN67660_c0_g1_i1 0 0 0
TRINITY_DN67686_c0_g1_i1 0 0 0
TRINITY_DN67638_c0_g1_i1 0 0 0
TRINITY_DN67630_c0_g1_i1 0 0 0
TRINITY_DN67635_c0_g1_i1 1 0 0
TRINITY_DN67607_c0_g1_i1 0 -1 0
TRINITY_DN67697_c0_g1_i1 0 0 0
TRINITY_DN18175_c0_g1_i1 0 0 0
TRINITY_DN18175_c0_g2_i1 0 0 0
TRINITY_DN18176_c0_g1_i1 0 0 0
TRINITY_DN18176_c0_g2_i2 0 0 0
TRINITY_DN18189_c0_g2_i1 0 0 0
TRINITY_DN18163_c0_g1_i1 0 0 0
TRINITY_DN18197_c1_g1_i1 0 -1 0
TRINITY_DN18126_c0_g1_i1 1 0 0
TRINITY_DN18166_c0_g1_i1 0 1 0
TRINITY_DN18166_c0_g3_i1 0 0 0
TRINITY_DN18166_c0_g4_i1 1 0 0
TRINITY_DN18170_c0_g2_i1 0 0 0
TRINITY_DN18170_c0_g3_i1 0 0 0
TRINITY_DN18178_c0_g1_i1 0 0 0
TRINITY_DN18154_c0_g1_i1 1 0 0
TRINITY_DN18160_c0_g2_i1 0 0 0
TRINITY_DN18191_c0_g1_i1 0 0 0
TRINITY_DN18101_c0_g1_i1 1 0 0
TRINITY_DN18161_c0_g1_i1 0 0 0
TRINITY_DN18185_c0_g1_i2 0 0 0
TRINITY_DN18137_c0_g1_i1 -1 0 0
TRINITY_DN18137_c0_g1_i2 0 0 0
TRINITY_DN18137_c0_g2_i1 0 0 0
TRINITY_DN18162_c0_g1_i1 0 0 0
TRINITY_DN18187_c0_g2_i1 0 0 0
TRINITY_DN18108_c0_g1_i2 0 0 0
TRINITY_DN18109_c0_g1_i1 0 0 0
TRINITY_DN18109_c1_g1_i1 0 0 0
TRINITY_DN18168_c0_g1_i1 0 0 0
TRINITY_DN18168_c1_g1_i1 0 -1 0
TRINITY_DN18111_c0_g2_i1 0 0 0
TRINITY_DN18143_c0_g1_i2 1 0 1
TRINITY_DN18149_c0_g1_i2 0 0 0
TRINITY_DN18174_c0_g1_i1 0 0 0
TRINITY_DN18156_c0_g1_i1 0 0 0
TRINITY_DN18194_c0_g1_i2 0 0 0
TRINITY_DN18194_c0_g1_i3 -1 -1 0
TRINITY_DN18194_c0_g1_i4 0 0 0
TRINITY_DN18194_c0_g2_i1 0 0 0
TRINITY_DN18102_c0_g1_i1 0 0 0
TRINITY_DN18164_c0_g1_i1 0 0 0
TRINITY_DN18184_c0_g1_i1 0 0 0
TRINITY_DN18182_c0_g1_i1 0 0 0
TRINITY_DN18182_c0_g1_i2 0 0 0
TRINITY_DN18112_c0_g1_i1 0 0 0
TRINITY_DN18147_c0_g1_i1 0 0 0
TRINITY_DN18152_c0_g1_i1 0 1 0
TRINITY_DN18110_c0_g1_i1 0 0 0
TRINITY_DN18153_c0_g2_i1 0 0 0
TRINITY_DN18139_c0_g1_i1 0 -1 0
TRINITY_DN18106_c0_g1_i1 0 1 0
TRINITY_DN18106_c0_g1_i2 1 1 0
TRINITY_DN18103_c0_g2_i1 0 0 0
TRINITY_DN18180_c0_g1_i1 0 0 0
TRINITY_DN18132_c0_g1_i1 0 -1 0
TRINITY_DN18142_c0_g1_i1 0 0 0
TRINITY_DN18107_c0_g1_i1 0 0 0
TRINITY_DN18107_c0_g1_i2 0 0 0
TRINITY_DN18127_c0_g1_i1 0 0 0
TRINITY_DN18130_c0_g1_i1 0 1 0
TRINITY_DN18146_c0_g1_i1 1 0 0
