"Flower" "Leaf" "Stem"
"oases2_CL10000Contig1_1" 0 0 0
"oases2_CL10001Contig1_1" 0 0 0
"oases2_CL10005Contig1_1" 0 0 0
"oases2_CL10009Contig1_1" 0 0 0
"oases2_CL10011Contig1_1" 0 0 0
"oases2_CL10019Contig1_1" 0 0 0
"oases2_CL10026Contig1_1" 0 0 0
"oases2_CL1002Contig1_1" 0 0 0
"oases2_CL10039Contig1_1" 0 0 0
"oases2_CL10052Contig1_1" 0 -1 0
"oases2_CL1005Contig1_1" 0 0 0
"oases2_CL10068Contig1_1" 0 0 0
"oases2_CL10085Contig1_1" 0 0 0
"oases2_CL1008Contig1_2" 0 0 0
"oases2_CL10095Contig1_1" 0 0 0
"oases2_CL100Contig1_1" 0 -1 0
"oases2_CL10114Contig1_1" 0 0 0
"oases2_CL10115Contig1_1" 0 0 0
"oases2_CL10115Contig1_2" 0 0 0
"oases2_CL10121Contig1_1" 0 -1 0
"oases2_CL10124Contig1_1" 0 0 0
"oases2_CL10128Contig1_1" 0 -1 0
"oases2_CL10131Contig1_1" 0 0 0
"oases2_CL10135Contig1_1" 0 0 0
"oases2_CL1013Contig1_1" 0 -1 0
"oases2_CL10149Contig1_1" 0 0 0
"oases2_CL10154Contig1_1" 0 0 0
"oases2_CL10154Contig1_2" 0 0 0
"oases2_CL1015Contig1_1" 0 0 0
"oases2_CL10170Contig1_1" 0 -1 0
"oases2_CL10173Contig1_1" 0 0 0
"oases2_CL10175Contig1_1" 0 0 0
"oases2_CL10176Contig1_1" 0 0 0
"oases2_CL10178Contig1_1" 0 0 0
"oases2_CL10180Contig1_1" 0 0 0
"oases2_CL1018Contig1_1" 0 0 0
"oases2_CL10190Contig1_1" 0 0 0
"oases2_CL10202Contig1_1" 0 0 0
"oases2_CL10209Contig1_1" 0 0 0
"oases2_CL10211Contig1_1" 0 0 0
"oases2_CL10216Contig1_1" 0 0 0
"oases2_CL10223Contig1_1" 0 0 0
"oases2_CL10224Contig1_1" 0 0 0
"oases2_CL10262Contig1_1" 0 0 0
"oases2_CL10275Contig1_1" 0 0 0
"oases2_CL1029Contig1_1" 0 0 0
"oases2_CL102Contig2_1" 0 0 0
"oases2_CL10301Contig1_1" 0 0 0
"oases2_CL10301Contig1_2" 0 0 0
"oases2_CL1030Contig1_1" 0 0 0
"oases2_CL10323Contig1_1" 0 0 0
"oases2_CL10327Contig1_1" 0 0 0
"oases2_CL10329Contig1_1" 0 0 0
"oases2_CL10330Contig1_1" 0 0 0
"oases2_CL10345Contig1_1" 0 0 0
"oases2_CL10345Contig1_2" 0 1 0
"oases2_CL10345Contig1_3" 0 0 0
"oases2_CL10345Contig1_4" 0 0 0
"oases2_CL10346Contig1_1" 0 0 0
"oases2_CL10353Contig1_1" 0 0 0
"oases2_CL10355Contig1_1" 0 0 0
"oases2_CL10360Contig1_2" 0 0 0
"oases2_CL10361Contig1_1" 0 0 0
"oases2_CL10365Contig1_1" 0 0 0
"oases2_CL10366Contig1_1" 0 0 0
"oases2_CL10370Contig1_1" 0 0 0
"oases2_CL10373Contig1_1" 0 0 0
"oases2_CL10375Contig1_1" 0 0 0
"oases2_CL10381Contig1_1" 0 0 0
"oases2_CL10382Contig1_1" 0 0 0
"oases2_CL10389Contig1_1" 0 0 0
"oases2_CL10408Contig1_1" 0 0 0
"oases2_CL10409Contig1_1" 0 0 0
"oases2_CL10418Contig1_1" 0 0 0
"oases2_CL10422Contig1_1" 0 0 0
"oases2_CL10424Contig1_1" 0 0 0
"oases2_CL10436Contig1_1" 0 0 0
"oases2_CL10440Contig1_1" 0 0 0
"oases2_CL1044Contig1_1" 0 0 0
"oases2_CL10458Contig1_1" 0 0 0
"oases2_CL10459Contig1_1" 0 0 0
"oases2_CL10464Contig1_1" 0 0 0
"oases2_CL10467Contig1_1" 0 0 0
"oases2_CL1046Contig1_1" 0 0 0
"oases2_CL10476Contig1_1" 0 0 0
"oases2_CL10479Contig1_1" 0 0 0
"oases2_CL1047Contig1_1" 0 0 0
"oases2_CL1048Contig1_1" 0 0 0
"oases2_CL10498Contig1_1" 0 0 0
"oases2_CL10499Contig1_1" 0 1 0
"oases2_CL10504Contig1_1" 0 0 0
"oases2_CL10505Contig1_1" 0 0 0
"oases2_CL10509Contig1_1" 0 0 0
"oases2_CL1050Contig1_1" 0 0 0
"oases2_CL10511Contig1_1" 0 0 0
"oases2_CL10516Contig1_1" 0 0 0
"oases2_CL10518Contig1_1" 0 0 0
"oases2_CL1051Contig1_1" 0 0 0
"oases2_CL10520Contig1_1" 0 0 0
"oases2_CL10528Contig1_1" 0 0 0
"oases2_CL10529Contig1_1" 0 0 0
"oases2_CL10538Contig1_1" 0 0 0
"oases2_CL10546Contig1_1" 0 0 0
"oases2_CL10547Contig1_1" 0 0 0
"oases2_CL10557Contig1_1" 0 0 0
"oases2_CL10559Contig1_1" 0 0 0
"oases2_CL10566Contig1_1" 0 0 0
"oases2_CL1057Contig1_1" 0 0 0
"oases2_CL10587Contig1_1" 0 0 0
"oases2_CL10594Contig1_1" 0 0 0
"oases2_CL10597Contig1_2" 0 0 0
"oases2_CL105Contig2_1" 0 0 0
"oases2_CL10620Contig1_1" 1 1 0
"oases2_CL1062Contig1_1" 0 0 0
"oases2_CL10631Contig1_1" 0 0 0
"oases2_CL10633Contig1_1" 0 0 0
"oases2_CL1063Contig1_1" 0 -1 0
"oases2_CL10646Contig1_1" 0 -1 0
"oases2_CL10666Contig1_1" 0 0 0
"oases2_CL1066Contig1_1" 0 0 0
"oases2_CL10672Contig1_1" 0 0 0
"oases2_CL1068Contig1_1" 0 0 0
"oases2_CL10709Contig1_1" 0 0 0
"oases2_CL10711Contig1_1" 0 0 0
"oases2_CL10714Contig1_1" 0 0 0
"oases2_CL10715Contig1_1" 0 0 0
"oases2_CL10719Contig1_1" 0 0 0
"oases2_CL10721Contig1_1" 0 0 0
"oases2_CL10723Contig1_2" 0 0 0
"oases2_CL10746Contig1_1" 0 0 0
"oases2_CL10750Contig1_1" 0 0 0
"oases2_CL10755Contig1_1" 0 0 0
"oases2_CL10756Contig1_1" 0 1 0
"oases2_CL10768Contig1_1" 0 0 0
"oases2_CL10769Contig1_1" 0 0 0
"oases2_CL1076Contig1_1" 0 0 0
"oases2_CL10787Contig1_1" 0 0 0
"oases2_CL10789Contig1_1" 0 -1 0
"oases2_CL10799Contig1_1" 0 0 0
"oases2_CL107Contig2_1" 0 0 0
"oases2_CL10804Contig1_1" 0 0 0
"oases2_CL10805Contig1_1" 0 -1 0
"oases2_CL10809Contig1_1" 0 0 0
"oases2_CL10819Contig1_1" 0 0 0
"oases2_CL10833Contig1_1" 0 0 0
"oases2_CL10839Contig1_1" 0 0 0
"oases2_CL10849Contig1_1" 0 1 0
"oases2_CL10852Contig1_1" 0 0 0
"oases2_CL10868Contig1_1" 0 0 0
"oases2_CL10869Contig1_1" 0 -1 0
"oases2_CL10881Contig1_1" 0 0 0
"oases2_CL10884Contig1_1" 0 0 0
"oases2_CL10885Contig1_1" 0 0 0
"oases2_CL10887Contig1_1" 0 0 0
"oases2_CL10893Contig1_1" 0 0 0
"oases2_CL10894Contig1_1" 0 0 0
"oases2_CL10895Contig1_1" 0 0 0
