A0A166F5A8	integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]; metabolic process [GO:0008152]
A0A164WWA8	transferase activity, transferring hexosyl groups [GO:0016758]; metabolic process [GO:0008152]
A0A166GH44	metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]
A0A175YCI7	hydrolase activity, acting on ester bonds [GO:0016788]
A0A165A9H4	integral component of membrane [GO:0016021]; metal ion transmembrane transporter activity [GO:0046873]
A0A165Y0P6	chloroplast thylakoid membrane [GO:0009535]; copper ion binding [GO:0005507]; electron carrier activity [GO:0009055]; oxidation-reduction process [GO:0055114]
A0A165ZUB9	integral component of membrane [GO:0016021]; transporter activity [GO:0005215]; oligopeptide transport [GO:0006857]
A0A162A676	hydrolase activity, acting on ester bonds [GO:0016788]
P27631	lipid binding [GO:0008289]; lipid transport [GO:0006869]
A0A161ZNB7	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A166EIX9	DNA polymerase III complex [GO:0009360]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]
A0A165Z107	phosphoenolpyruvate carboxylase activity [GO:0008964]; carbon fixation [GO:0015977]; tricarboxylic acid cycle [GO:0006099]
A0A165XU08	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor [GO:0016624]
A0A164X4D0	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A166EXM0	integral component of membrane [GO:0016021]
A0A1D5SFR7	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; photosynthesis, light harvesting [GO:0009765]; protein-chromophore linkage [GO:0018298]
A0A166EWL4	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; photosynthesis, light harvesting [GO:0009765]; protein-chromophore linkage [GO:0018298]
P07371	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; metal ion binding [GO:0046872]; photosynthesis, light harvesting [GO:0009765]; protein-chromophore linkage [GO:0018298]
A0A166GQP2	catalytic activity [GO:0003824]
A0A166CHI4	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]
A0A175YDN5	hydrolase activity, acting on ester bonds [GO:0016788]
A0A166GZ61	integral component of membrane [GO:0016021]
A0A162AL32	transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]
A0A175YQZ4	nucleus [GO:0005634]; transcription factor activity, sequence-specific DNA binding [GO:0003700]
A0A175YNT4	metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; oxylipin biosynthetic process [GO:0031408]
A0A1J6KBB2	metal ion binding [GO:0046872]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; oxylipin biosynthetic process [GO:0031408]
