"","logFC.trtF","logFC.trtL","logFC.trtS","logCPM","LR","PValue","FDR"
"oases3_k49_Locus_48521_Transcript_1_1",8.11655151119322,7.72161210432603,7.7156404597149,0.303559070160644,258.598063621579,9.03787747351105e-56,3.31446080586071e-51
"oases6_k37_Locus_60082_Transcript_1_1",10.9578860541176,4.43597846668486,1.93623982210205,6.90770360086176,227.004161158289,6.14511992791875e-49,1.12679991558282e-44
"oases3_k49_Locus_48413_Transcript_4_1",5.77597401463576,0.736663223848798,-1.31891632554432,8.2792894616985,205.001932103853,3.50201736251053e-44,4.28098275784495e-40
"oases3_k25_Locus_53953_Transcript_1_1",7.76749539450504,-3.80218246636046,1.09398227418543,5.43408682886016,199.122087876861,6.52908969008183e-43,5.98603265510928e-39
"oases6_k25_Locus_6897_Transcript_5_2",6.0000407801043,1.31888657034477,-0.995545562412981,7.94500584483862,195.777207954454,3.44780056848964e-42,2.52882380496441e-38
"oases6_k49_Locus_58445_Transcript_2_1",6.67952878860084,0.777205452291206,-0.143762005850059,6.2962448600992,189.588587194132,7.48997551442913e-41,4.57799786734432e-37
"oases6_k25_Locus_42959_Transcript_7_1",8.72244879477177,2.37751305720352,0.272425995702699,4.90709536666754,187.014758110843,2.69428269863984e-40,1.41153470581741e-36
"oases6_k31_Locus_53645_Transcript_3_1",7.93119645489426,0.375047535080002,1.63191425965745,4.88509646954034,186.599904791734,3.31169449956398e-40,1.51812215478137e-36
"oases3_k31_Locus_8441_Transcript_8_2",9.453552297561,3.33038098744781,1.75413552626793,5.09830640241256,184.95751862922,7.49532584119352e-40,3.05417871748989e-36
"oases3_k49_Locus_6476_Transcript_4_2",9.43852061339351,2.8396253733428,2.84567356820781,4.13400238476222,183.806838777927,1.32836301748812e-39,4.87150569403417e-36
"oases6_k49_Locus_2739_Transcript_5_1",7.31730639238657,0.960824809693394,1.04672745221427,8.67359779074255,182.388312409426,2.68956234008647e-39,8.96675633618101e-36
"oases3_k31_Locus_50510_Transcript_4_1",8.38352695174974,-2.46780743083293,1.63766808193912,4.33796940566813,177.53572745036,3.0034157515445e-38,9.17868882136597e-35
"oases6_CL14329Contig1_1",8.9746648014095,3.82659322133559,2.84629639771542,5.99712765701884,175.944642917482,6.62494027821291e-38,1.86889565248386e-34
"oases3_k31_Locus_27886_Transcript_6_2",8.57889197009367,1.14726208025691,-2.47919918448213,5.52132739591682,174.839156771838,1.1478414619303e-37,3.00677070952642e-34
"oases6_k43_Locus_55712_Transcript_2_1",7.98720022506583,-2.61202496626534,1.954832611974,3.35949615145191,168.355676028889,2.88164461836604e-36,7.04523687262251e-33
"oases3_k49_Locus_41721_Transcript_1_1",9.5895106763224,0.0746866157201985,2.24140639880906,4.06906904101048,167.350587043777,4.7490602733911e-36,1.08851429628795e-32
"oases6_k25_Locus_27954_Transcript_3_1",5.75479469239562,0.480581667605195,-0.519395780363629,6.30050726762741,162.781086516434,4.60173942521402e-35,9.92703470240433e-32
"oases6_k49_Locus_57889_Transcript_1_1",7.97759114156137,0.727111737082591,0.147723986386011,5.17741882934692,162.015684711737,6.73156198494688e-35,1.37148095929976e-31
"oases6_k43_Locus_15593_Transcript_3_1",5.0155755320382,0.106006934659316,-0.437357050096308,5.36717156854361,159.933317645813,1.89461653443765e-34,3.65690906144379e-31
"oases6_k49_Locus_57838_Transcript_1_1",6.95436765624695,3.40659302057797,-1.7888071533462,3.66357794239533,159.316492342365,2.57415356488335e-34,4.72009668424836e-31
"oases6_k49_Locus_62996_Transcript_1_1",8.6219196554735,-0.59737802491843,-0.663315246682763,4.2413364487369,158.275879984506,4.31713020672566e-34,7.53914838434525e-31
"oases6_k31_Locus_3792_Transcript_10_2",5.88388362281077,1.11835947635042,-0.461027003531565,8.28644818205177,152.799352590811,6.55930534327326e-33,1.09340638569936e-29
"oases6_k37_Locus_56172_Transcript_1_1",7.14490369295457,2.04192264412216,-2.48966101925845,4.44214012007101,152.186891155268,8.89183191186026e-33,1.41778326827674e-29
"oases3_k31_Locus_50870_Transcript_3_1",8.43108331453187,-1.15830674809977,-1.5055241530546,3.61316782887007,150.169031885098,2.42271869759313e-32,3.7020151165347e-29
"oases2_k43_Locus_20622_Transcript_5_1",8.25934384113229,0.890793962656093,-0.412866619619861,8.62954009561104,148.090544032987,6.80227466362048e-32,9.97839274955816e-29
"oases3_k25_Locus_53364_Transcript_5_1",8.86163335487778,-2.79286523740894,0.795847502560637,5.51929856365589,146.659004877763,1.38492961953358e-31,1.95344322835212e-28
"oases2_k31_Locus_32375_Transcript_2_1",6.0130718463636,-0.776546917553055,0.215568524489296,6.9458413783953,145.577951980146,2.36913792461281e-31,3.21790352256762e-28
"oases2_k31_Locus_38544_Transcript_1_1",5.34472965177407,-0.883274611267289,-0.278990476242766,3.80298386143044,143.297534184704,7.35181974941405e-31,9.62904591679505e-28
"oases6_k43_Locus_41073_Transcript_7_1",6.43838137635641,-3.88066362345747,1.53634928974354,3.64518709619219,142.741628504124,9.68892876747078e-31,1.22524856789468e-27
