"logFC.trtDF" "logFC.trtDL" "logFC.trtDS" "logCPM" "LR" "PValue" "FDR"
"oases3_k25_Locus_52353_Transcript_5_1" 5.02118916859885 -0.540442096010858 -4.52331447418303 6.04537295094517 117.67542721315 2.44361784425106e-25 8.96147972022191e-21
"oases2_k43_Locus_20622_Transcript_5_1" 6.04310412480888 -0.0831292611909619 -1.11855596028829 6.97788532125842 106.377031872294 6.60558906632987e-23 1.21123383914758e-18
"oases6_k49_Locus_58445_Transcript_2_1" 5.66319231032342 0.29354265023293 -0.641946916987324 6.25027736588984 91.4774305968531 1.05486633289615e-19 1.28950376754335e-15
"oases6_k49_Locus_2739_Transcript_5_1" 6.1473677880817 0.267614115088972 0.32984017285659 5.67589194179927 90.5496499405634 1.66915228950988e-19 1.53032054782989e-15
"oases6_k25_Locus_27954_Transcript_3_1" 5.11675282434602 0.155538651844915 -0.836719547670843 6.16797272579816 79.6791935546306 3.59622567215073e-17 2.63768768149568e-13
"oases6_k31_Locus_3792_Transcript_10_2" 5.50883035454818 0.94268514114695 -0.469923283544755 8.39027579916892 79.2562778426933 4.43153649674976e-17 2.70862896575507e-13
"oases2_CL3315Contig1_1" 6.16075791249086 -1.43128525263111 -2.97213841826625 6.86976588011211 78.8195081406886 5.49828137354879e-17 2.88054961160221e-13
"oases6_k25_Locus_6897_Transcript_5_2" 5.8869188790327 1.34846679112311 -0.959491220835765 8.2150067743772 77.6515199009226 9.78791903689021e-17 4.00606710183546e-13
"oases3_k49_Locus_48413_Transcript_4_1" 6.01287249263834 1.13957178134643 -1.05745946889925 7.92307670979255 77.6425472222782 9.83137564871134e-17 4.00606710183546e-13
"oases6_k37_Locus_60082_Transcript_1_1" 10.9691003635809 4.16082156535565 2.35305645283172 4.3494029335478 75.8573600257239 2.37322272325106e-16 8.70331969297861e-13
"oases3_k43_Locus_3424_Transcript_84_3" 5.62854054909732 -1.32338124160873 -1.43130198018127 5.6589777543735 75.2712462459216 3.16934913322877e-16 1.05663218875362e-12
"oases3_k25_Locus_53259_Transcript_1_1" 7.23325819894723 0.581273311098783 -1.99830329559537 5.91474620261805 74.8521530942601 3.8975678352855e-16 1.19112921019521e-12
"oases2_k25_Locus_49164_Transcript_1_1" 6.43278011304379 0.773900431700021 0.378896240501791 5.89073146955417 74.4495610809854 4.75416807834649e-16 1.34115081490155e-12
"oases2_k25_Locus_50568_Transcript_1_1" 6.21669169860141 1.82958535238843 -0.242155292191208 6.82707012947392 74.2848198524052 5.15678523073077e-16 1.35081989118992e-12
"oases3_CL19994Contig1_1" 5.00813832166761 0.124380260491225 -0.529378197465798 7.07104582897793 73.26503930798 8.52900125759249e-16 2.0852270874646e-12
"oases3_CL21094Contig1_1" 6.47087678719552 -1.41984625800879 -4.70834168196842 4.55281112924608 73.0965126533711 9.26843372783945e-16 2.1243829381316e-12
"oases6_k31_Locus_25424_Transcript_1_1" 4.99488043335773 -1.1114230694972 -2.64821604060802 4.59491150883957 72.1714993409013 1.46277709305968e-15 3.15555437257517e-12
"oases2_k49_Locus_33714_Transcript_2_1" 4.4822867453499 -1.27296325492406 -2.50108479573729 5.22058776144699 70.63475382936 3.1212623852042e-15 6.06513385390352e-12
"oases3_k37_Locus_50451_Transcript_6_1" 5.94330848080643 -1.16548760524136 -1.4249533515313 6.58638241940511 70.6211316576738 3.14229932713896e-15 6.06513385390352e-12
"oases3_k25_Locus_54713_Transcript_9_1" 5.60154708096984 1.59211458795191 -0.334394813743732 5.13578691525053 68.9195669385986 7.27088446828544e-15 1.29863441429771e-11
"oases6_k49_Locus_12143_Transcript_7_2" 5.85758478414871 0.660163860488631 0.156148401180394 6.49085800279885 68.8739187051148 7.43634900342267e-15 1.29863441429771e-11
"oases6_k49_Locus_57889_Transcript_1_1" 6.16963890807075 -0.431590795404887 -0.771000399658542 4.8771104802682 68.1645011453163 1.05492718180114e-14 1.75851566082697e-11
"oases3_k25_Locus_53953_Transcript_1_1" 7.2556046371604 -2.89340147883373 0.872616799341263 3.58405904915934 67.9665875796373 1.16301483052375e-14 1.85440186433902e-11
"oases3_k31_Locus_52088_Transcript_1_1" 7.5471782804549 -5.08306944478913 -1.34710521773708 5.97853361141981 67.699468920138 1.32665620694082e-14 2.02718596154753e-11
"oases3_CL20544Contig1_1" 5.52574727377332 -0.796417849819752 -1.27522040815061 4.91547787029817 65.6819926095138 3.58481743630074e-14 5.25864039365828e-11
"oases3_k43_Locus_24204_Transcript_8_1" 5.1051484631564 -0.602458449086982 -1.28920139453365 3.91359504016646 65.0876913938135 4.80398849122849e-14 6.77602576687778e-11
"oases2_k31_Locus_32375_Transcript_2_1" 5.42713373241597 -1.19764357240541 -0.00693106989055111 4.58808153378367 63.9212341757915 8.53266142565898e-14 1.15895663875256e-10
"oases3_k37_Locus_49374_Transcript_9_1" 4.86365771599832 -1.27922184125616 -2.01234192699156 4.6322128150244 62.2866362095831 1.90799912250015e-13 2.49900185069457e-10
"oases3_k49_Locus_49692_Transcript_1_1" 5.51728425006886 -2.02054346957744 -0.950825029038806 4.66188717515915 62.0501818553755 2.1434977967728e-13 2.71063774831202e-10
"oases3_k49_Locus_51225_Transcript_1_1" 7.86678653425036 3.65758323942499 0.393985629095148 6.59903945373552 60.501818070026 4.5922927361307e-13 5.61377171707071e-10
"oases3_k37_Locus_11505_Transcript_13_1" 5.50155716360411 -0.0694294158136028 -0.882139997498145 5.3419370459699 59.6340006228171 7.03778628002119e-13 8.32570116926506e-10
"oases3_CL39Contig2_1" -4.57768951871191 -5.51713282137948 -3.285764599599 7.54321445063632 58.7170458144129 1.10482566542737e-12 1.25831503713703e-09
"oases3_k31_Locus_2387_Transcript_6_1" 4.8974818126488 -0.822983665116747 -1.81129348899225 5.42144555147211 58.6671171881999 1.13228795641267e-12 1.25831503713703e-09
"oases3_k31_Locus_50788_Transcript_1_1" 6.05239867876463 0.551684444961342 -0.730599052710864 4.78327711476599 58.0433370534978 1.53873409439e-12 1.65970574834013e-09
"oases2_k25_Locus_3482_Transcript_5_1" -8.56867933326524 -8.52388140164402 -6.73719074879964 5.73283412926297 57.7349494226147 1.79064850181408e-12 1.8762415002008e-09
"oases3_CL22688Contig1_1" 6.37412794341112 1.13799665479648 -0.808071286393571 5.69258215097624 57.1361878387948 2.40348268993351e-12 2.44841446355366e-09
"oases6_k49_Locus_58223_Transcript_3_1" 5.58029454504394 0.000705953321282754 -2.6135379137754 3.80649599320231 57.039905176361 2.51996484921138e-12 2.497693808517e-09
"oases6_k31_Locus_53645_Transcript_3_1" 6.18622325444485 -0.925629345338817 0.0356892678712653 3.45081377756634 56.0014450036651 4.19795401269555e-12 4.05135703967326e-09
