Busco_id Status Sequence Score Length length prop_gc orf_length in_bridges p_good p_bases_covered p_seq_true score p_not_segmented eff_length eff_count tpm coverage sCnuc sCcov sCord sCseg
EOG09360002 Complete TRINITY_DN149686_c2_g1_i3 6532.7 3712 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936000A Duplicated TRINITY_DN144748_c1_g1_i8 4363.7 2582 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936001N Duplicated TRINITY_DN124473_c1_g1_i11 3159.4 1622 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936001W Duplicated TRINITY_DN147941_c0_g1_i7 2341.3 1656 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360025 Duplicated TRINITY_DN144613_c1_g1_i9 2815.8 1665 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936003Z Duplicated TRINITY_DN148392_c0_g1_i2 2410.1 1857 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936004R Duplicated TRINITY_DN143608_c0_g1_i4 1188.4 801 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936004W Complete TRINITY_DN145908_c3_g3_i6 1799.3 1088 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936008E Duplicated TRINITY_DN141562_c1_g1_i9 812.5 592 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936008K Duplicated TRINITY_DN141523_c0_g3_i9 2429.2 1152 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360091 Duplicated TRINITY_DN145630_c0_g1_i3 2198.3 1214 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936009W Duplicated TRINITY_DN139251_c0_g1_i6 975 683 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600CA Complete TRINITY_DN145332_c2_g1_i8 2319.4 1144 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600CH Duplicated TRINITY_DN126840_c1_g1_i4 2075.5 1141 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600CL Duplicated TRINITY_DN145212_c3_g2_i2 2217.4 1377 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600DF Fragmented TRINITY_DN146301_c2_g2_i1 1069.3 1002 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600DJ Duplicated TRINITY_DN147536_c1_g1_i1 2169.5 1282 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600DL Duplicated TRINITY_DN136099_c0_g1_i10 1786.5 1118 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600EH Fragmented TRINITY_DN144931_c2_g1_i5 1046.2 579 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600FR Duplicated TRINITY_DN146943_c0_g1_i4 1463.6 1078 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600G6 Duplicated TRINITY_DN148722_c0_g1_i5 1940.1 1626 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600GM Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600H1 Duplicated TRINITY_DN117188_c0_g3_i3 787.5 507 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600IQ Duplicated TRINITY_DN136562_c0_g1_i11 1940.8 1139 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600K5 Duplicated TRINITY_DN144228_c3_g2_i1 1834 992 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600K5 Duplicated TRINITY_DN144228_c3_g2_i11 1834 992 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600LV Duplicated TRINITY_DN142036_c1_g1_i1 1074 726 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600N9 Duplicated TRINITY_DN143168_c2_g1_i7 1553.9 1019 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600NS Complete TRINITY_DN138139_c0_g1_i7 1323.9 843 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600O6 Duplicated TRINITY_DN138442_c0_g1_i7 1166.5 1015 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600OF Duplicated TRINITY_DN131720_c2_g2_i15 1564.2 1007 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600ON Duplicated TRINITY_DN142790_c3_g3_i4 1649.8 977 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600OU Duplicated TRINITY_DN148365_c1_g2_i7 1579.8 938 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600P5 Complete TRINITY_DN146886_c1_g2_i15 948.9 802 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600PE Duplicated TRINITY_DN134293_c0_g3_i1 1417.3 1124 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600QB Duplicated TRINITY_DN126311_c1_g1_i10 956.1 744 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600QB Duplicated TRINITY_DN126311_c1_g1_i4 956.1 742 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600R5 Duplicated TRINITY_DN138528_c0_g4_i1 1659.4 912 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600SL Fragmented TRINITY_DN146114_c2_g3_i1 1194.7 720 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600SS Fragmented TRINITY_DN139852_c1_g2_i4 979 598 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600SY Duplicated TRINITY_DN142719_c1_g1_i1 1616.6 948 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600T6 Fragmented TRINITY_DN175488_c0_g1_i1 293.7 205 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600T8 Complete TRINITY_DN139870_c0_g1_i1 957.1 915 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600TY Complete TRINITY_DN145200_c0_g1_i4 1518.6 1820 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600TZ Duplicated TRINITY_DN145247_c2_g1_i3 1064.7 627 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600U4 Duplicated TRINITY_DN139351_c0_g1_i25 1038.8 598 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600U9 Duplicated TRINITY_DN132678_c2_g2_i9 1759.1 1071 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600UX Duplicated TRINITY_DN142096_c0_g1_i11 1264.7 884 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600W2 Duplicated TRINITY_DN149203_c1_g1_i17 695.1 677 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600WS Duplicated TRINITY_DN125769_c0_g1_i1 1290.2 875 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600X9 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600XL Duplicated TRINITY_DN133553_c0_g2_i8 1642.1 972 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600YH Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093600ZL Duplicated TRINITY_DN133282_c0_g5_i2 1364.6 792 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936011P Duplicated TRINITY_DN142554_c0_g1_i13 781.4 570 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936011P Duplicated TRINITY_DN142554_c0_g1_i3 781.4 570 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936011U Duplicated TRINITY_DN133594_c0_g1_i11 876.1 627 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936011V Duplicated TRINITY_DN138460_c1_g1_i9 1666.9 911 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360146 Duplicated TRINITY_DN136650_c0_g1_i24 1467.2 836 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360155 Duplicated TRINITY_DN146565_c1_g1_i7 1149.1 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360155 Duplicated TRINITY_DN146819_c2_g1_i9 1149.1 645 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936015N Duplicated TRINITY_DN127272_c3_g1_i2 1127.5 888 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936015N Duplicated TRINITY_DN127272_c3_g1_i4 1127.5 888 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936015N Duplicated TRINITY_DN127272_c3_g1_i5 1127.5 888 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936017C Duplicated TRINITY_DN141664_c0_g1_i3 1587 846 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936017K Duplicated TRINITY_DN142143_c2_g2_i8 1026.4 544 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360199 Duplicated TRINITY_DN131936_c0_g1_i11 1356.2 738 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360199 Duplicated TRINITY_DN131936_c0_g1_i12 1356.2 738 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936019N Duplicated TRINITY_DN148918_c4_g2_i1 1183.3 669 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
