# BUSCO version is: 2.0 
# The lineage dataset is: embryophyta_odb9 (Creation date: 2016-02-13, number of species: 30, number of BUSCOs: 1440)
# To reproduce this run: python /software/busco/2.0/x86_64-linux-ubuntu14.04/BUSCO.py -i /share/malooflab/Hajar/trinity-process/trinity.out/Trinity.fasta -o BUSCO_output_plant -l /home/hajaramini/embryophyta_odb9/ -m tran -c 20 -sp arabidopsis
#
# Busco id	Status	Sequence	Score	Length
EOG09360002	Complete	TRINITY_DN149686_c2_g1_i3	6532.7	3712
EOG0936000A	Duplicated	TRINITY_DN144748_c1_g1_i3	4299.1	2559
EOG0936000A	Duplicated	TRINITY_DN144748_c1_g1_i7	4344.6	2582
EOG0936000A	Duplicated	TRINITY_DN144748_c1_g1_i8	4363.7	2582
EOG0936001N	Duplicated	TRINITY_DN124473_c1_g1_i11	3159.4	1622
EOG0936001N	Duplicated	TRINITY_DN124473_c1_g1_i6	3159.3	1622
EOG0936001N	Duplicated	TRINITY_DN124473_c1_g1_i9	3159.1	1622
EOG0936001W	Duplicated	TRINITY_DN147941_c0_g1_i7	2341.3	1656
EOG0936001W	Duplicated	TRINITY_DN148304_c0_g2_i18	1995.4	1352
EOG0936001W	Duplicated	TRINITY_DN148304_c0_g2_i5	1996.1	1351
EOG09360025	Duplicated	TRINITY_DN144613_c1_g1_i11	2815.7	1665
EOG09360025	Duplicated	TRINITY_DN144613_c1_g1_i9	2815.8	1665
EOG09360025	Duplicated	TRINITY_DN147353_c2_g2_i13	2813.4	1665
EOG0936003Z	Duplicated	TRINITY_DN148392_c0_g1_i2	2410.1	1857
EOG0936003Z	Duplicated	TRINITY_DN148392_c0_g1_i6	2392.3	1818
EOG0936004R	Duplicated	TRINITY_DN129993_c2_g1_i8	1028.6	664
EOG0936004R	Duplicated	TRINITY_DN143608_c0_g1_i23	1026.9	664
EOG0936004R	Duplicated	TRINITY_DN143608_c0_g1_i4	1188.4	801
EOG0936004W	Complete	TRINITY_DN145908_c3_g3_i6	1799.3	1088
EOG0936008E	Duplicated	TRINITY_DN141562_c1_g1_i13	722.4	445
EOG0936008E	Duplicated	TRINITY_DN141562_c1_g1_i2	811.9	592
EOG0936008E	Duplicated	TRINITY_DN141562_c1_g1_i9	812.5	592
EOG0936008K	Duplicated	TRINITY_DN141523_c0_g3_i13	2429.1	1152
EOG0936008K	Duplicated	TRINITY_DN141523_c0_g3_i7	2429.1	1152
EOG0936008K	Duplicated	TRINITY_DN141523_c0_g3_i9	2429.2	1152
EOG09360091	Duplicated	TRINITY_DN145630_c0_g1_i3	2198.3	1214
EOG09360091	Duplicated	TRINITY_DN148497_c1_g2_i4	2197.8	1219
EOG0936009W	Duplicated	TRINITY_DN139251_c0_g1_i6	975.0	683
EOG0936009W	Duplicated	TRINITY_DN139251_c0_g2_i1	974.7	699
EOG0936009W	Duplicated	TRINITY_DN139251_c0_g2_i5	974.7	699
EOG093600CA	Complete	TRINITY_DN145332_c2_g1_i8	2319.4	1144
EOG093600CH	Duplicated	TRINITY_DN126840_c1_g1_i3	1853.4	951
EOG093600CH	Duplicated	TRINITY_DN126840_c1_g1_i4	2075.5	1141
EOG093600CH	Duplicated	TRINITY_DN126840_c1_g1_i5	1959.2	1045
EOG093600CL	Duplicated	TRINITY_DN140690_c1_g2_i6	1916.6	1219
EOG093600CL	Duplicated	TRINITY_DN145212_c3_g2_i1	2217.1	1376
EOG093600CL	Duplicated	TRINITY_DN145212_c3_g2_i2	2217.4	1377
EOG093600DF	Fragmented	TRINITY_DN146301_c2_g2_i1	1069.3	1002
EOG093600DJ	Duplicated	TRINITY_DN147536_c1_g1_i1	2169.5	1282
EOG093600DJ	Duplicated	TRINITY_DN147536_c1_g1_i3	2165.6	1280
EOG093600DJ	Duplicated	TRINITY_DN147536_c1_g1_i7	1888.0	985
EOG093600DL	Duplicated	TRINITY_DN136099_c0_g1_i10	1786.5	1118
EOG093600DL	Duplicated	TRINITY_DN136099_c0_g1_i6	1785.5	1118
EOG093600DL	Duplicated	TRINITY_DN136099_c0_g2_i1	1783.9	1118
EOG093600EH	Fragmented	TRINITY_DN144931_c2_g1_i5	1046.2	579
EOG093600FR	Duplicated	TRINITY_DN146943_c0_g1_i4	1463.6	1078
EOG093600FR	Duplicated	TRINITY_DN146943_c0_g1_i7	1463.5	1078
EOG093600FR	Duplicated	TRINITY_DN146943_c0_g1_i8	1300.2	944
EOG093600G6	Duplicated	TRINITY_DN148722_c0_g1_i2	1857.0	1565
EOG093600G6	Duplicated	TRINITY_DN148722_c0_g1_i5	1940.1	1626
EOG093600GM	Missing
EOG093600H1	Duplicated	TRINITY_DN117188_c0_g3_i3	787.5	507
EOG093600H1	Duplicated	TRINITY_DN117188_c0_g3_i8	786.5	504
EOG093600H1	Duplicated	TRINITY_DN126543_c0_g3_i2	786.7	504
EOG093600IQ	Duplicated	TRINITY_DN136562_c0_g1_i11	1940.8	1139
EOG093600IQ	Duplicated	TRINITY_DN144834_c0_g1_i11	1793.0	1082
EOG093600K5	Duplicated	TRINITY_DN142547_c0_g1_i2	1833.0	993
EOG093600K5	Duplicated	TRINITY_DN144228_c3_g2_i1	1834.0	992
EOG093600K5	Duplicated	TRINITY_DN144228_c3_g2_i11	1834.0	992
EOG093600LV	Duplicated	TRINITY_DN142036_c1_g1_i1	1074.0	726
EOG093600LV	Duplicated	TRINITY_DN142036_c1_g1_i5	1051.2	729
